DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2021,EQ,"1,320.00","1,329.45","1,308.95","1,317.05","1,319.45","1,319.10","1,319.49","1,377.75","891.00",2231508,"2,94,44,53,254.50",79174
30-Dec-2021,EQ,"1,291.90","1,326.45","1,282.70","1,291.90","1,317.00","1,317.05","1,313.44","1,377.75","891.00",4518139,"5,93,43,07,349.70",132717
29-Dec-2021,EQ,"1,283.00","1,299.00","1,277.10","1,283.90","1,291.50","1,291.90","1,291.30","1,377.75","891.00",2254162,"2,91,08,04,070.60",67484
28-Dec-2021,EQ,"1,270.00","1,289.00","1,270.00","1,267.20","1,280.00","1,283.90","1,283.42","1,377.75","891.00",3446067,"4,42,27,37,066.90",132069
27-Dec-2021,EQ,"1,268.00","1,277.00","1,254.05","1,265.20","1,267.50","1,267.20","1,265.86","1,377.75","891.00",3372907,"4,26,96,18,338.30",107525
24-Dec-2021,EQ,"1,262.15","1,283.80","1,246.15","1,227.45","1,262.60","1,265.20","1,267.39","1,377.75","850.00",15952929,"20,21,86,51,707.90",231975
23-Dec-2021,EQ,"1,229.90","1,230.70","1,215.60","1,222.80","1,226.50","1,227.45","1,225.49","1,377.75","850.00",2814281,"3,44,88,85,287.90",102711
22-Dec-2021,EQ,"1,218.00","1,226.00","1,210.10","1,205.00","1,222.60","1,222.80","1,218.10","1,377.75","850.00",3809814,"4,64,07,40,336.75",130597
21-Dec-2021,EQ,"1,168.90","1,214.95","1,165.05","1,159.90","1,210.00","1,205.00","1,201.33","1,377.75","850.00",6217986,"7,46,98,44,223.35",175877
20-Dec-2021,EQ,"1,160.00","1,172.35","1,145.50","1,171.40","1,160.00","1,159.90","1,156.48","1,377.75","850.00",3091768,"3,57,55,62,245.25",111409
17-Dec-2021,EQ,"1,172.00","1,182.90","1,165.00","1,159.75","1,170.00","1,171.40","1,174.47","1,377.75","850.00",6373455,"7,48,54,41,960.95",200853
16-Dec-2021,EQ,"1,156.00","1,167.90","1,149.55","1,148.90","1,161.80","1,159.75","1,158.07","1,377.75","850.00",2121810,"2,45,72,09,441.80",93551
15-Dec-2021,EQ,"1,158.25","1,161.95","1,142.30","1,162.35","1,146.90","1,148.90","1,148.82","1,377.75","850.00",1604301,"1,84,30,50,867.25",66975
14-Dec-2021,EQ,"1,156.00","1,165.90","1,145.50","1,159.10","1,161.60","1,162.35","1,160.17","1,377.75","850.00",1972685,"2,28,86,40,906.15",89671
13-Dec-2021,EQ,"1,166.00","1,173.45","1,153.25","1,162.20","1,159.30","1,159.10","1,163.71","1,377.75","850.00",2225682,"2,59,00,52,041.80",63854
10-Dec-2021,EQ,"1,155.20","1,167.00","1,155.20","1,168.55","1,161.00","1,162.20","1,160.64","1,377.75","850.00",957733,"1,11,15,86,754.55",39617
09-Dec-2021,EQ,"1,179.80","1,179.80","1,155.00","1,171.60","1,168.00","1,168.55","1,164.84","1,377.75","850.00",1734844,"2,02,08,07,372.70",69721
08-Dec-2021,EQ,"1,157.40","1,181.60","1,157.05","1,149.65","1,170.05","1,171.60","1,173.09","1,377.75","850.00",2525711,"2,96,28,81,207.20",87948
07-Dec-2021,EQ,"1,150.00","1,155.00","1,131.40","1,136.55","1,148.10","1,149.65","1,145.55","1,377.75","850.00",2299958,"2,63,47,24,153.60",80940
06-Dec-2021,EQ,"1,169.90","1,172.65","1,134.85","1,171.40","1,137.80","1,136.55","1,146.37","1,377.75","850.00",2493755,"2,85,87,57,331.00",107240
03-Dec-2021,EQ,"1,188.00","1,189.70","1,169.65","1,184.70","1,170.40","1,171.40","1,175.90","1,377.75","815.10",2571036,"3,02,32,86,791.30",89550
02-Dec-2021,EQ,"1,161.90","1,186.40","1,153.00","1,156.70","1,183.00","1,184.70","1,172.47","1,377.75","815.10",4011279,"4,70,31,19,501.30",120697
01-Dec-2021,EQ,"1,146.00","1,163.00","1,145.20","1,138.65","1,159.55","1,156.70","1,156.90","1,377.75","815.10",2918586,"3,37,65,01,071.95",115314
30-Nov-2021,EQ,"1,133.00","1,157.90","1,133.00","1,133.15","1,139.35","1,138.65","1,143.27","1,377.75","815.10",7421904,"8,48,52,39,216.15",159613
29-Nov-2021,EQ,"1,101.10","1,145.00","1,100.10","1,110.05","1,134.00","1,133.15","1,131.49","1,377.75","815.10",3661152,"4,14,25,61,741.55",144471
26-Nov-2021,EQ,"1,120.00","1,126.00","1,103.30","1,124.80","1,111.65","1,110.05","1,114.79","1,377.75","814.35",2207274,"2,46,06,41,343.10",98604
25-Nov-2021,EQ,"1,116.50","1,131.00","1,111.00","1,119.45","1,125.70","1,124.80","1,125.72","1,377.75","814.35",3106454,"3,49,70,09,820.40",95903
24-Nov-2021,EQ,"1,120.00","1,132.65","1,112.95","1,112.60","1,115.95","1,119.45","1,123.89","1,377.75","814.35",2675632,"3,00,71,03,782.90",80404
23-Nov-2021,EQ,"1,105.00","1,120.00","1,090.00","1,110.10","1,115.75","1,112.60","1,109.58","1,377.75","814.35",4545069,"5,04,31,31,371.75",93913
22-Nov-2021,EQ,"1,120.20","1,125.85","1,102.00","1,120.20","1,113.00","1,110.10","1,111.00","1,377.75","814.35",3961223,"4,40,09,20,118.15",116792
18-Nov-2021,EQ,"1,148.00","1,155.00","1,113.50","1,152.45","1,118.00","1,120.20","1,124.78","1,377.75","800.25",5384530,"6,05,64,36,424.55",194719
17-Nov-2021,EQ,"1,160.50","1,164.75","1,150.00","1,163.40","1,150.30","1,152.45","1,156.81","1,377.75","800.25",3172985,"3,67,05,46,247.65",109730
16-Nov-2021,EQ,"1,170.90","1,175.50","1,160.45","1,170.85","1,161.95","1,163.40","1,165.95","1,377.75","800.25",3141207,"3,66,25,00,831.65",89551
15-Nov-2021,EQ,"1,171.00","1,181.60","1,163.50","1,172.35","1,168.00","1,170.85","1,173.72","1,377.75","800.25",3619915,"4,24,87,59,630.95",58921
12-Nov-2021,EQ,"1,168.90","1,178.15","1,163.00","1,160.70","1,174.40","1,172.35","1,171.56","1,377.75","800.25",3812518,"4,46,65,75,627.35",81204
11-Nov-2021,EQ,"1,166.00","1,167.80","1,152.25","1,169.15","1,161.25","1,160.70","1,160.33","1,377.75","800.25",2861259,"3,32,00,01,450.60",69185
10-Nov-2021,EQ,"1,164.00","1,175.00","1,162.10","1,172.80","1,171.20","1,169.15","1,168.82","1,377.75","800.25",2401325,"2,80,67,20,850.60",83449
09-Nov-2021,EQ,"1,188.00","1,191.00","1,170.45","1,182.85","1,172.30","1,172.80","1,177.76","1,377.75","800.25",3565461,"4,19,92,64,233.05",148010
08-Nov-2021,EQ,"1,187.45","1,192.80","1,168.55","1,183.10","1,183.00","1,182.85","1,178.89","1,377.75","800.25",3808317,"4,48,95,89,096.25",80192
04-Nov-2021,EQ,"1,185.00","1,187.15","1,178.00","1,176.35","1,183.50","1,183.10","1,183.16","1,377.75","800.25",256369,"30,33,25,401.50",15663
03-Nov-2021,EQ,"1,175.00","1,187.70","1,171.70","1,170.65","1,177.00","1,176.35","1,178.99","1,377.75","800.25",2063067,"2,43,23,27,289.95",57776
02-Nov-2021,EQ,"1,191.00","1,195.10","1,168.85","1,189.20","1,172.20","1,170.65","1,180.96","1,377.75","800.25",3016082,"3,56,18,62,430.60",96802
01-Nov-2021,EQ,"1,143.50","1,191.45","1,143.50","1,143.75","1,189.00","1,189.20","1,177.09","1,377.75","800.25",4511112,"5,30,99,77,855.20",132281
29-Oct-2021,EQ,"1,152.00","1,173.00","1,138.00","1,152.00","1,145.00","1,143.75","1,155.88","1,377.75","800.25",3558520,"4,11,32,14,806.30",127439
28-Oct-2021,EQ,"1,183.30","1,185.00","1,146.80","1,177.15","1,153.60","1,152.00","1,162.12","1,377.75","800.25",4096585,"4,76,07,07,263.35",163152
27-Oct-2021,EQ,"1,170.00","1,181.35","1,161.50","1,166.80","1,177.45","1,177.15","1,170.39","1,377.75","800.25",3536653,"4,13,92,77,581.00",91737
26-Oct-2021,EQ,"1,170.00","1,182.00","1,153.25","1,165.40","1,168.00","1,166.80","1,163.88","1,377.75","800.25",5126660,"5,96,67,98,956.50",111561
25-Oct-2021,EQ,"1,184.05","1,190.00","1,157.15","1,194.00","1,168.00","1,165.40","1,166.40","1,377.75","800.25",6690819,"7,80,41,41,931.05",159478
22-Oct-2021,EQ,"1,203.25","1,223.35","1,186.00","1,210.70","1,192.80","1,194.00","1,198.90","1,377.75","800.25",3812305,"4,57,05,69,132.35",119329
21-Oct-2021,EQ,"1,238.90","1,238.90","1,189.00","1,232.90","1,214.00","1,210.70","1,206.94","1,377.75","800.25",5998795,"7,24,01,70,471.50",168030
20-Oct-2021,EQ,"1,239.00","1,263.40","1,220.40","1,232.10","1,232.90","1,232.90","1,242.97","1,377.75","800.25",8222562,"10,22,03,60,301.85",189811
19-Oct-2021,EQ,"1,230.00","1,253.00","1,225.00","1,221.40","1,232.00","1,232.10","1,237.26","1,377.75","800.25",10189780,"12,60,74,18,050.55",176380
18-Oct-2021,EQ,"1,240.00","1,272.50","1,215.00","1,251.15","1,224.85","1,221.40","1,231.58","1,377.75","800.25",23861603,"29,38,75,43,018.90",436447
14-Oct-2021,EQ,"1,289.40","1,293.25","1,244.05","1,265.35","1,246.00","1,251.15","1,260.29","1,377.75","800.25",10360519,"13,05,72,63,101.60",252915
13-Oct-2021,EQ,"1,263.00","1,270.80","1,243.45","1,250.35","1,265.00","1,265.35","1,254.84","1,377.75","800.25",5705730,"7,15,97,99,588.30",153786
12-Oct-2021,EQ,"1,306.95","1,309.00","1,236.30","1,302.90","1,254.00","1,250.35","1,254.57","1,377.75","800.25",12811641,"16,07,31,60,657.35",414669
11-Oct-2021,EQ,"1,300.00","1,324.90","1,235.65","1,322.15","1,304.30","1,302.90","1,301.10","1,377.75","800.25",5264998,"6,85,03,14,422.40",154328
08-Oct-2021,EQ,"1,306.30","1,338.00","1,294.05","1,306.30","1,323.50","1,322.15","1,320.38","1,377.75","800.25",5197831,"6,86,31,32,702.45",151205
