DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"1,281.95","1,281.95","1,268.65","1,282.15","1,275.50","1,272.10","1,272.87","2,503.30","1,084.00",4178528,"5,31,87,20,963.95",127264
30-Dec-2019,EQ,"1,282.00","1,288.75","1,274.05","1,275.00","1,284.90","1,282.15","1,282.10","2,503.30","1,084.00",4667095,"5,98,37,04,059.55",116012
27-Dec-2019,EQ,"1,272.00","1,279.00","1,270.00","1,270.45","1,275.75","1,275.00","1,275.30","2,503.30","1,084.00",3546496,"4,52,28,59,102.10",104711
26-Dec-2019,EQ,"1,289.70","1,291.85","1,264.65","1,289.15","1,269.85","1,270.45","1,274.91","2,503.30","1,084.00",7474879,"9,52,97,79,205.65",126918
24-Dec-2019,EQ,"1,298.60","1,301.10","1,286.95","1,302.40","1,290.00","1,289.15","1,293.83","2,503.30","1,084.00",3589604,"4,64,43,39,997.80",91053
23-Dec-2019,EQ,"1,299.00","1,304.00","1,288.80","1,296.70","1,301.50","1,302.40","1,298.01","2,503.30","1,084.00",5097891,"6,61,71,01,355.25",126370
20-Dec-2019,EQ,"1,288.75","1,299.60","1,280.05","1,288.80","1,296.45","1,296.70","1,292.36","2,503.30","1,084.00",7513022,"9,70,94,92,966.65",141458
19-Dec-2019,EQ,"1,305.00","1,305.50","1,286.10","1,292.35","1,288.50","1,288.80","1,296.05","2,503.30","1,084.00",6509188,"8,43,62,11,795.40",151485
18-Dec-2019,EQ,"1,283.00","1,299.00","1,273.65","1,271.10","1,292.70","1,292.35","1,287.03","2,503.30","1,084.00",8723586,"11,22,74,88,009.50",201690
17-Dec-2019,EQ,"1,260.00","1,274.80","1,255.35","1,257.35","1,271.75","1,271.10","1,267.95","2,503.30","1,084.00",6213677,"7,87,86,37,927.25",169567
16-Dec-2019,EQ,"1,269.25","1,270.00","1,248.20","1,263.85","1,258.70","1,257.35","1,256.17","2,503.30","1,084.00",5663788,"7,11,46,78,289.85",246978
13-Dec-2019,EQ,"1,265.00","1,272.35","1,259.25","1,263.60","1,263.10","1,263.85","1,266.95","2,503.30","1,084.00",5887593,"7,45,92,62,686.80",104179
12-Dec-2019,EQ,"1,253.00","1,269.45","1,253.00","1,248.75","1,265.80","1,263.60","1,261.92","2,503.30","1,084.00",6456574,"8,14,76,95,875.65",142217
11-Dec-2019,EQ,"1,250.10","1,254.00","1,242.50","1,249.50","1,250.55","1,248.75","1,248.04","2,503.30","1,084.00",5527321,"6,89,83,36,218.40",160384
10-Dec-2019,EQ,"1,251.00","1,253.65","1,245.10","1,242.95","1,250.10","1,249.50","1,249.14","2,503.30","1,084.00",4894450,"6,11,38,59,550.55",137774
09-Dec-2019,EQ,"1,249.50","1,249.85","1,237.55","1,246.05","1,243.50","1,242.95","1,242.41","2,503.30","1,084.00",4132675,"5,13,44,73,126.30",91238
06-Dec-2019,EQ,"1,248.95","1,260.00","1,238.20","1,245.60","1,245.40","1,246.05","1,250.90","2,503.30","1,084.00",6887325,"8,61,53,73,629.10",148575
05-Dec-2019,EQ,"1,255.60","1,258.75","1,240.75","1,251.65","1,244.90","1,245.60","1,249.82","2,503.30","1,084.00",6386247,"7,98,16,74,760.30",135982
04-Dec-2019,EQ,"1,252.50","1,256.90","1,234.20","1,255.40","1,251.65","1,251.65","1,244.89","2,503.30","1,084.00",5697807,"7,09,31,57,131.20",160001
03-Dec-2019,EQ,"1,268.20","1,269.00","1,253.80","1,265.75","1,255.10","1,255.40","1,257.55","2,503.30","1,084.00",3495953,"4,39,63,24,269.00",145022
02-Dec-2019,EQ,"1,273.95","1,273.95","1,258.60","1,274.95","1,262.55","1,265.75","1,265.00","2,503.30","1,084.00",4473102,"5,65,84,67,295.00",140206
29-Nov-2019,EQ,"1,267.70","1,279.90","1,252.00","1,265.30","1,275.00","1,274.95","1,267.91","2,503.30","1,084.00",7783813,"9,86,92,09,147.60",179493
