DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"617.20","619.15","611.05","617.40","617.95","617.05","615.14","761.20","511.40",2645522,"1,62,73,71,540.75",55465
30-Dec-2024,EQ,"620.35","623.90","614.35","621.90","617.30","617.40","618.30","761.20","511.40",1564417,"96,72,79,668.15",52386
27-Dec-2024,EQ,"626.40","629.40","620.60","626.40","620.80","621.90","624.41","761.20","511.40",726298,"45,35,05,311.55",29723
26-Dec-2024,EQ,"619.90","629.45","619.20","622.50","625.50","626.40","626.58","761.20","511.40",3523864,"2,20,79,85,335.40",62868
24-Dec-2024,EQ,"622.55","628.05","619.00","622.55","622.00","622.50","624.08","761.20","511.40",1445089,"90,18,57,826.95",58597
23-Dec-2024,EQ,"625.05","626.45","613.60","623.80","620.50","622.55","621.07","761.20","511.40",2924609,"1,81,63,77,711.45",82173
20-Dec-2024,EQ,"619.70","626.50","618.20","623.55","623.75","623.80","622.97","761.20","511.40",3996244,"2,48,95,34,225.35",77861
19-Dec-2024,EQ,"618.05","625.00","615.30","624.55","624.10","623.55","620.99","761.20","511.40",3779968,"2,34,73,33,325.75",85920
18-Dec-2024,EQ,"623.15","629.80","620.30","626.75","624.15","624.55","624.39","761.20","511.40",4331195,"2,70,43,71,498.90",56420
17-Dec-2024,EQ,"634.95","636.35","625.60","634.95","628.10","626.75","629.51","761.20","511.40",3179067,"2,00,12,56,049.95",68587
16-Dec-2024,EQ,"632.55","636.40","628.55","632.55","635.45","634.95","633.44","761.20","511.40",2175242,"1,37,78,79,176.00",64157
13-Dec-2024,EQ,"625.00","633.90","621.15","626.55","633.15","632.55","627.44","761.20","511.40",2573194,"1,61,45,31,205.95",77216
12-Dec-2024,EQ,"636.00","636.80","619.90","634.65","626.50","626.55","628.58","761.20","511.40",3807072,"2,39,30,65,404.20",77426
11-Dec-2024,EQ,"634.80","640.60","632.80","633.30","633.80","634.65","635.28","761.20","511.40",2396993,"1,52,27,53,070.55",80831
10-Dec-2024,EQ,"641.80","644.45","630.35","641.80","634.80","633.30","636.62","761.20","511.40",6158405,"3,92,05,39,678.85",128228
09-Dec-2024,EQ,"637.90","646.35","634.70","636.50","641.70","641.80","641.65","761.20","511.40",4027169,"2,58,40,48,349.90",87521
06-Dec-2024,EQ,"645.00","647.45","635.20","643.15","636.20","636.50","637.97","761.20","511.40",6455327,"4,11,83,20,461.65",150871
05-Dec-2024,EQ,"650.20","653.50","639.35","650.25","643.15","643.15","644.40","761.20","511.40",6163444,"3,97,17,42,322.25",173584
04-Dec-2024,EQ,"635.00","651.00","635.00","634.00","650.00","650.25","646.99","761.20","511.40",7392523,"4,78,29,10,627.95",168752
03-Dec-2024,EQ,"646.80","646.80","632.30","640.20","635.00","634.00","636.28","761.20","511.40",8256858,"5,25,36,47,069.90",130191
02-Dec-2024,EQ,"650.00","664.00","639.10","657.75","640.20","640.20","643.90","761.20","511.40",4977558,"3,20,50,69,684.90",116531
29-Nov-2024,EQ,"670.00","674.10","651.30","657.70","656.00","657.75","658.86","761.20","511.40",5934406,"3,90,99,53,032.00",169470
28-Nov-2024,EQ,"682.00","690.15","638.65","680.55","655.10","657.70","659.31","761.20","511.40",13625371,"8,98,33,69,535.10",338874
27-Nov-2024,EQ,"681.85","689.30","679.30","682.40","681.40","680.55","683.64","761.20","511.40",2422336,"1,65,60,09,950.85",81885
26-Nov-2024,EQ,"684.00","693.40","675.00","684.80","681.50","682.40","686.35","761.20","511.40",1767673,"1,21,32,35,823.00",90096
25-Nov-2024,EQ,"690.00","695.80","681.40","688.20","688.90","684.80","686.68","761.20","511.40",4622983,"3,17,45,22,954.35",132793
22-Nov-2024,EQ,"680.00","691.30","674.15","674.40","685.35","688.20","686.36","761.20","511.40",1788502,"1,22,75,54,893.35",80940
21-Nov-2024,EQ,"680.40","680.95","668.85","680.40","674.40","674.40","673.46","761.20","511.40",2194259,"1,47,77,49,853.65",95581
19-Nov-2024,EQ,"688.05","693.00","668.30","690.50","679.00","680.40","676.35","761.20","511.40",6438490,"4,35,46,94,376.60",189545
18-Nov-2024,EQ,"687.00","693.95","682.50","694.00","688.05","690.50","689.00","761.20","511.40",1666040,"1,14,78,97,910.40",68006
14-Nov-2024,EQ,"681.50","696.70","681.50","685.05","693.30","694.00","692.50","761.20","511.40",1715862,"1,18,82,34,376.65",93729
13-Nov-2024,EQ,"695.00","698.85","683.15","700.00","687.60","685.05","689.45","761.20","511.40",2080391,"1,43,43,19,145.40",106656
12-Nov-2024,EQ,"707.55","719.85","696.10","705.35","698.00","700.00","703.25","761.20","511.40",2502158,"1,75,96,43,776.65",89562
11-Nov-2024,EQ,"704.10","711.60","695.80","708.50","705.50","705.35","706.76","761.20","511.40",1888427,"1,33,46,58,012.20",76529
08-Nov-2024,EQ,"709.50","719.85","707.00","711.70","707.00","708.50","712.97","761.20","511.40",1272302,"90,71,12,901.75",59733
07-Nov-2024,EQ,"708.70","713.70","703.30","708.70","711.50","711.70","709.47","761.20","511.40",1935062,"1,37,28,63,304.00",76308
06-Nov-2024,EQ,"717.00","718.00","704.35","717.25","709.30","708.70","709.23","761.20","511.40",2878220,"2,04,13,28,954.75",100379
05-Nov-2024,EQ,"710.80","726.60","685.40","710.85","715.50","717.25","707.42","761.20","511.40",5036300,"3,56,27,80,655.55",159966
04-Nov-2024,EQ,"720.20","727.60","706.10","723.70","710.00","710.85","714.64","761.20","511.40",2047984,"1,46,35,67,527.95",96565
01-Nov-2024,EQ,"721.95","726.00","720.15","720.15","723.00","723.70","723.87","761.20","511.40",198743,"14,38,64,495.55",11079
31-Oct-2024,EQ,"723.10","726.75","713.15","727.05","720.00","720.15","719.30","761.20","511.40",2028752,"1,45,92,71,662.85",72472
30-Oct-2024,EQ,"744.25","745.00","724.55","742.40","725.00","727.05","731.84","761.20","511.40",1645358,"1,20,41,41,449.20",50959
29-Oct-2024,EQ,"718.00","745.10","708.15","718.25","742.10","742.40","733.06","761.20","511.40",4585180,"3,36,11,99,994.05",136844
28-Oct-2024,EQ,"710.25","721.80","705.70","709.45","719.70","718.25","716.89","761.20","511.40",1448334,"1,03,82,99,259.15",62605
25-Oct-2024,EQ,"718.00","719.70","700.00","714.85","710.00","709.45","705.30","761.20","511.40",2852838,"2,01,21,05,563.25",79960
24-Oct-2024,EQ,"725.00","735.00","711.05","723.75","716.45","714.85","722.03","761.20","511.40",1806714,"1,30,44,96,790.60",58209
23-Oct-2024,EQ,"725.00","732.00","718.20","728.20","724.95","723.75","724.11","761.20","511.40",1668266,"1,20,80,01,323.75",73864
22-Oct-2024,EQ,"745.80","749.75","724.35","745.85","729.75","728.20","737.27","761.20","511.40",3346783,"2,46,74,66,676.45",113042
21-Oct-2024,EQ,"748.85","755.45","742.45","742.45","742.45","745.85","748.93","761.20","511.40",4508689,"3,37,67,05,797.00",107777
18-Oct-2024,EQ,"726.00","744.00","720.10","726.10","743.55","742.45","737.80","761.20","511.40",3703858,"2,73,27,09,140.90",103852
17-Oct-2024,EQ,"730.00","731.50","715.95","726.80","723.95","726.10","724.66","761.20","511.40",4310887,"3,12,39,18,352.30",86718
16-Oct-2024,EQ,"723.45","732.45","714.85","714.25","727.00","726.80","726.42","761.20","511.40",5375005,"3,90,45,30,682.95",157877
15-Oct-2024,EQ,"742.80","746.45","711.30","740.60","714.05","714.25","730.40","761.20","511.40",6665822,"4,86,87,08,488.05",147611
14-Oct-2024,EQ,"728.00","741.60","726.30","723.85","741.20","740.60","736.46","761.20","511.40",3985624,"2,93,52,44,451.35",102373
11-Oct-2024,EQ,"721.50","725.50","717.00","723.65","722.30","723.85","721.66","761.20","511.40",1984588,"1,43,21,89,436.40",40405
10-Oct-2024,EQ,"721.00","726.20","713.30","717.30","724.55","723.65","720.27","761.20","511.40",2249443,"1,62,02,07,067.45",73870
09-Oct-2024,EQ,"709.85","725.45","703.75","710.10","719.00","717.30","718.66","761.20","511.40",1743202,"1,25,27,72,976.00",63635
08-Oct-2024,EQ,"700.50","712.55","699.80","705.85","710.00","710.10","706.51","761.20","511.40",3767320,"2,66,16,52,420.05",88105
07-Oct-2024,EQ,"711.65","719.30","702.90","708.80","703.00","705.85","709.37","761.20","511.40",3474485,"2,46,46,98,775.00",95290
04-Oct-2024,EQ,"702.25","713.50","701.55","702.25","709.30","708.80","707.37","761.20","511.40",2616851,"1,85,10,79,134.00",60737
03-Oct-2024,EQ,"696.55","711.95","696.50","710.20","705.00","702.25","703.58","761.20","511.40",2542774,"1,78,90,39,359.05",70518
01-Oct-2024,EQ,"716.00","723.35","706.60","718.00","711.00","710.20","712.91","761.20","511.40",1987048,"1,41,65,92,214.80",59496
30-Sep-2024,EQ,"735.00","736.35","716.00","730.20","718.35","718.00","723.37","761.20","511.40",2488795,"1,80,03,20,380.55",75959
27-Sep-2024,EQ,"729.45","740.65","726.35","729.55","733.00","730.20","733.83","761.20","511.40",4567661,"3,35,18,84,349.10",83695
26-Sep-2024,EQ,"716.55","732.00","714.30","716.55","727.95","729.55","726.47","761.20","511.40",2797065,"2,03,19,87,189.15",95301
25-Sep-2024,EQ,"722.00","723.10","710.10","720.70","716.00","716.55","715.60","761.20","511.40",1096265,"78,44,86,254.75",43239
24-Sep-2024,EQ,"727.50","728.95","715.15","727.50","720.00","720.70","720.71","761.20","511.40",3212859,"2,31,55,44,003.00",92120
23-Sep-2024,EQ,"718.85","730.00","714.05","711.10","727.80","727.50","723.27","761.20","511.40",2943802,"2,12,91,54,105.90",66407
20-Sep-2024,EQ,"702.00","721.00","702.00","701.50","712.00","711.10","713.21","761.20","511.40",7891171,"5,62,80,84,551.60",101910
19-Sep-2024,EQ,"700.35","708.10","697.75","698.80","700.55","701.50","702.45","761.20","511.40",2202499,"1,54,71,48,897.85",69506
18-Sep-2024,EQ,"698.90","705.20","693.40","698.90","699.30","698.80","699.67","761.20","511.40",1527865,"1,06,89,94,175.00",48931
17-Sep-2024,EQ,"701.35","702.90","691.55","701.35","700.00","698.90","696.71","761.20","511.40",2985585,"2,08,00,93,204.70",85521
16-Sep-2024,EQ,"708.85","709.20","698.00","705.40","700.50","701.35","700.83","761.20","511.40",2754818,"1,93,06,56,552.45",39574
13-Sep-2024,EQ,"712.00","713.75","703.15","714.55","705.00","705.40","706.22","761.20","511.40",1886832,"1,33,25,12,481.15",71887
12-Sep-2024,EQ,"703.15","715.95","698.30","700.15","711.65","714.55","708.92","761.20","511.40",3487862,"2,47,25,98,892.25",91131
11-Sep-2024,EQ,"701.00","704.30","696.00","702.90","699.85","700.15","699.61","761.20","511.40",4604184,"3,22,11,26,851.30",67252
10-Sep-2024,EQ,"730.00","732.15","701.20","735.80","703.40","702.90","709.80","761.20","511.40",7366304,"5,22,85,76,259.70",229129
09-Sep-2024,EQ,"735.10","749.00","731.25","738.40","734.95","735.80","740.36","761.20","511.40",2635184,"1,95,09,92,347.05",74357
06-Sep-2024,EQ,"750.00","754.10","736.05","751.85","739.85","738.40","743.55","761.20","511.40",2765612,"2,05,63,70,929.70",76251
05-Sep-2024,EQ,"758.00","758.65","750.40","758.80","751.85","751.85","753.07","761.20","511.40",1759438,"1,32,49,88,159.20",53305
04-Sep-2024,EQ,"751.70","759.45","748.40","758.75","758.75","758.80","755.70","761.20","511.40",3031650,"2,29,10,31,223.25",84534
03-Sep-2024,EQ,"754.00","761.20","741.65","745.30","754.85","758.75","750.59","761.20","511.40",6268050,"4,70,47,48,767.35",122819
02-Sep-2024,EQ,"743.15","754.00","739.85","738.70","745.30","745.30","747.45","754.00","511.40",3073926,"2,29,76,01,820.10",80192
