DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2021,EQ,"2,432.00","2,483.60","2,432.00","2,431.90","2,465.00","2,462.10","2,466.24","3,629.05","2,310.00",253608,"62,54,59,238.80",21620
30-Dec-2021,EQ,"2,425.00","2,437.85","2,412.35","2,433.25","2,428.00","2,431.90","2,425.86","3,629.05","2,310.00",366389,"88,88,09,395.25",18902
29-Dec-2021,EQ,"2,421.00","2,442.80","2,410.00","2,417.80","2,430.00","2,433.25","2,424.43","3,629.05","2,310.00",270407,"65,55,83,330.30",15248
28-Dec-2021,EQ,"2,404.00","2,425.00","2,395.90","2,402.00","2,421.00","2,417.80","2,414.01","3,629.05","2,310.00",265463,"64,08,30,844.75",23619
27-Dec-2021,EQ,"2,390.00","2,410.20","2,371.00","2,392.45","2,403.00","2,402.00","2,396.19","3,629.05","2,310.00",223494,"53,55,33,699.70",17833
24-Dec-2021,EQ,"2,413.00","2,413.00","2,376.60","2,392.70","2,392.20","2,392.45","2,388.57","3,629.05","2,310.00",343453,"82,03,61,637.55",21265
23-Dec-2021,EQ,"2,365.00","2,403.00","2,352.50","2,348.80","2,394.05","2,392.70","2,377.47","3,629.05","2,310.00",472868,"1,12,42,31,172.95",37565
22-Dec-2021,EQ,"2,355.00","2,366.00","2,337.30","2,347.40","2,349.00","2,348.80","2,352.11","3,629.05","2,310.00",367785,"86,50,71,362.55",23376
21-Dec-2021,EQ,"2,390.00","2,390.00","2,333.05","2,356.65","2,348.55","2,347.40","2,354.23","3,629.05","2,310.00",401977,"94,63,46,254.30",34148
20-Dec-2021,EQ,"2,435.00","2,435.00","2,310.00","2,444.65","2,368.00","2,356.65","2,351.32","3,629.05","2,310.00",687713,"1,61,70,30,942.50",54755
17-Dec-2021,EQ,"2,469.00","2,469.00","2,421.00","2,471.10","2,448.00","2,444.65","2,440.26","3,629.05","2,408.90",492339,"1,20,14,33,092.60",38391
16-Dec-2021,EQ,"2,513.00","2,525.00","2,459.30","2,507.15","2,474.70","2,471.10","2,473.04","3,629.05","2,408.90",496003,"1,22,66,37,454.85",31817
15-Dec-2021,EQ,"2,484.10","2,524.00","2,476.15","2,483.80","2,505.00","2,507.15","2,502.78","3,629.05","2,408.90",470021,"1,17,63,60,960.65",29139
14-Dec-2021,EQ,"2,480.00","2,488.00","2,460.00","2,495.00","2,488.00","2,483.80","2,473.95","3,629.05","2,408.90",365318,"90,37,76,829.25",29574
