DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"217.00","219.40","215.50","217.95","215.80","216.15","217.44","228.50","171.10",9432449,"2,05,10,34,785.75",67862
30-Dec-2019,EQ,"216.30","219.00","211.15","215.45","217.80","217.95","214.53","228.50","171.10",11352906,"2,43,55,51,719.20",69196
27-Dec-2019,EQ,"216.10","217.15","214.40","215.00","215.10","215.45","215.44","228.50","171.10",5252162,"1,13,15,28,800.85",30256
26-Dec-2019,EQ,"216.75","217.60","214.30","216.25","214.95","215.00","215.88","228.50","171.10",7436907,"1,60,55,02,116.30",36952
24-Dec-2019,EQ,"218.25","218.30","215.15","215.15","216.00","216.25","216.51","228.50","171.10",7782646,"1,68,49,93,758.45",41632
23-Dec-2019,EQ,"216.80","219.35","213.35","215.50","214.85","215.15","215.98","228.50","171.10",10295626,"2,22,36,51,424.55",69945
20-Dec-2019,EQ,"216.30","218.10","214.80","216.30","215.65","215.50","216.46","228.50","171.10",8175626,"1,76,96,81,142.10",77408
19-Dec-2019,EQ,"212.40","217.25","211.15","213.65","216.00","216.30","213.94","228.50","171.10",6847801,"1,46,50,13,756.25",44413
18-Dec-2019,EQ,"214.55","215.50","212.20","213.70","213.75","213.65","214.10","228.50","171.10",11721371,"2,50,95,77,062.05",80223
17-Dec-2019,EQ,"207.90","214.80","206.80","206.65","213.50","213.70","211.89","228.50","171.10",16629136,"3,52,35,62,521.85",85201
16-Dec-2019,EQ,"210.00","211.65","206.20","208.25","206.55","206.65","208.32","228.50","171.10",8779955,"1,82,90,31,686.55",51789
13-Dec-2019,EQ,"207.00","209.00","205.30","201.45","208.60","208.25","207.40","228.50","171.10",14246993,"2,95,48,42,342.85",106336
12-Dec-2019,EQ,"197.30","204.25","197.30","196.60","201.20","201.45","201.86","228.50","171.10",10621630,"2,14,41,26,140.00",65860
11-Dec-2019,EQ,"200.00","200.00","194.70","199.10","196.60","196.60","197.14","228.50","171.10",4757660,"93,79,10,894.05",47826
10-Dec-2019,EQ,"198.70","200.60","197.70","198.85","198.75","199.10","199.21","228.50","171.10",4876818,"97,14,97,651.65",38536
09-Dec-2019,EQ,"198.65","202.25","197.10","197.95","198.65","198.85","200.07","228.50","171.10",5743160,"1,14,90,39,362.65",35247
06-Dec-2019,EQ,"199.00","200.70","195.65","198.55","197.50","197.95","198.25","237.90","171.10",3819461,"75,72,22,403.05",21835
05-Dec-2019,EQ,"199.05","201.45","197.25","201.10","198.10","198.55","199.39","237.90","171.10",4443222,"88,59,49,043.45",27255
04-Dec-2019,EQ,"194.20","201.75","192.80","196.00","201.10","201.10","197.45","237.90","171.10",6574810,"1,29,81,73,777.05",37458
03-Dec-2019,EQ,"200.10","200.50","194.60","200.80","197.00","196.00","196.13","237.90","171.10",5815771,"1,14,06,33,360.65",33211
02-Dec-2019,EQ,"200.00","202.55","198.45","200.15","200.85","200.80","200.64","237.90","171.10",5195682,"1,04,24,43,646.10",29577
29-Nov-2019,EQ,"203.00","204.50","196.55","204.10","199.80","200.15","199.91","237.90","171.10",10212511,"2,04,15,81,929.70",49104
28-Nov-2019,EQ,"203.00","205.30","200.10","203.00","203.90","204.10","202.98","237.90","171.10",5421765,"1,10,05,03,752.75",41118
27-Nov-2019,EQ,"199.40","203.50","199.40","198.70","203.05","203.00","202.06","237.90","171.10",7251212,"1,46,52,04,411.05",49013
26-Nov-2019,EQ,"200.15","202.90","197.55","199.25","198.95","198.70","199.76","237.90","171.10",16163735,"3,22,88,99,775.20",133609
25-Nov-2019,EQ,"191.50","200.65","190.35","190.25","198.75","199.25","197.63","237.90","171.10",16931103,"3,34,61,60,535.80",92977
22-Nov-2019,EQ,"188.00","191.30","187.05","188.60","189.50","190.25","189.32","237.90","171.10",4635776,"87,76,45,878.40",27856
21-Nov-2019,EQ,"190.20","192.90","188.05","190.75","188.90","188.60","190.62","237.90","171.10",6342754,"1,20,90,28,189.40",45153
20-Nov-2019,EQ,"193.00","193.85","190.25","192.35","190.80","190.75","191.90","237.90","171.10",4437118,"85,14,94,706.55",32016
19-Nov-2019,EQ,"193.60","194.00","190.65","193.60","193.25","192.35","192.01","237.90","171.10",3476640,"66,75,42,474.60",26875
18-Nov-2019,EQ,"188.55","194.85","187.20","187.75","194.00","193.60","192.27","237.90","171.10",8873375,"1,70,60,95,920.55",61711
15-Nov-2019,EQ,"188.50","190.15","187.10","188.50","187.70","187.75","188.57","240.00","171.10",4558349,"85,95,68,035.90",26253
14-Nov-2019,EQ,"193.35","193.40","187.80","193.15","188.20","188.50","189.42","240.00","171.10",6720055,"1,27,28,98,721.85",45338
13-Nov-2019,EQ,"197.05","201.95","192.35","200.15","193.50","193.15","197.05","240.00","171.10",13457979,"2,65,18,78,522.15",75092
11-Nov-2019,EQ,"203.95","203.95","199.50","203.85","199.55","200.15","200.99","240.00","171.10",6851401,"1,37,70,30,977.35",42633
08-Nov-2019,EQ,"205.05","207.00","203.10","205.20","204.15","203.85","205.36","245.30","171.10",10082727,"2,07,05,68,362.55",76336
07-Nov-2019,EQ,"202.90","207.30","199.25","201.50","205.95","205.20","203.52","245.30","171.10",17556268,"3,57,29,99,785.05",79863
06-Nov-2019,EQ,"199.00","203.65","197.65","198.60","201.40","201.50","200.76","245.30","171.10",13028120,"2,61,55,16,598.30",61007
05-Nov-2019,EQ,"199.00","202.70","197.35","197.95","198.50","198.60","199.93","245.30","171.10",8912298,"1,78,18,69,159.95",57204
04-Nov-2019,EQ,"195.50","204.10","195.50","193.75","197.60","197.95","200.16","245.30","171.10",15421372,"3,08,67,68,093.60",77589
01-Nov-2019,EQ,"188.05","194.35","187.35","187.90","193.80","193.75","191.71","245.30","171.10",6921052,"1,32,68,41,823.20",43308
31-Oct-2019,EQ,"188.15","190.90","186.60","187.20","187.45","187.90","188.80","245.30","171.10",6501134,"1,22,74,44,786.50",39240
30-Oct-2019,EQ,"186.80","189.45","184.40","184.30","187.70","187.20","187.29","245.30","171.10",5978614,"1,11,97,26,123.90",32641
29-Oct-2019,EQ,"183.40","188.15","182.45","182.10","184.00","184.30","185.63","245.30","171.10",9687658,"1,79,82,91,040.30",70250
27-Oct-2019,EQ,"182.10","182.90","181.30","181.75","182.10","182.10","182.37","245.30","171.10",368603,"6,72,22,144.05",3220
25-Oct-2019,EQ,"181.50","183.40","181.00","181.35","181.20","181.75","182.15","245.30","171.10",5956396,"1,08,49,51,503.00",46059
24-Oct-2019,EQ,"186.25","186.65","180.70","185.10","181.15","181.35","183.84","245.30","171.10",6890297,"1,26,66,86,336.40",60188
23-Oct-2019,EQ,"185.10","187.60","184.00","185.75","185.20","185.10","185.36","245.30","171.10",5610514,"1,03,99,54,250.05",52741
22-Oct-2019,EQ,"186.45","190.95","185.05","187.40","185.20","185.75","187.75","245.30","171.10",6683536,"1,25,48,31,186.90",71208
18-Oct-2019,EQ,"187.95","191.35","186.65","188.80","186.85","187.40","188.40","245.30","171.10",7347790,"1,38,43,46,767.95",40920
17-Oct-2019,EQ,"185.50","189.75","182.55","187.95","188.60","188.80","185.55","245.30","171.10",9520625,"1,76,65,70,972.75",60987
16-Oct-2019,EQ,"192.50","194.15","187.15","192.55","188.00","187.95","188.76","245.30","171.10",8082988,"1,52,57,26,774.90",51427
15-Oct-2019,EQ,"187.90","195.55","185.90","188.70","192.20","192.55","190.97","245.30","171.10",6691660,"1,27,79,37,215.50",37382
14-Oct-2019,EQ,"189.50","191.00","187.05","187.20","188.40","188.70","189.06","245.30","171.10",5222539,"98,73,64,079.80",28636
11-Oct-2019,EQ,"183.50","189.20","183.30","182.25","187.30","187.20","186.82","245.30","171.10",7642682,"1,42,77,74,313.65",49649
10-Oct-2019,EQ,"184.45","185.95","181.80","186.05","182.55","182.25","182.90","245.30","171.10",4351508,"79,58,82,167.25",30522
09-Oct-2019,EQ,"182.05","187.15","180.70","182.30","186.35","186.05","184.17","245.30","171.10",4536877,"83,55,66,718.10",33783
07-Oct-2019,EQ,"182.25","185.15","181.10","182.10","182.10","182.30","183.16","245.30","171.10",4525369,"82,88,66,466.45",27863
04-Oct-2019,EQ,"184.00","185.75","181.55","182.60","182.05","182.10","183.87","259.75","171.10",6277398,"1,15,42,51,523.75",41663
03-Oct-2019,EQ,"186.50","187.95","180.00","189.75","182.15","182.60","182.92","259.75","171.10",13862733,"2,53,57,64,934.05",66218
01-Oct-2019,EQ,"191.30","194.55","186.75","191.35","189.45","189.75","190.67","259.75","171.10",6163235,"1,17,51,37,815.25",48620
30-Sep-2019,EQ,"189.40","191.90","184.75","190.70","191.30","191.35","188.16","259.75","171.10",6521755,"1,22,71,10,291.65",42789
27-Sep-2019,EQ,"194.55","194.95","189.50","195.95","190.95","190.70","191.11","259.75","171.10",4392645,"83,94,99,652.60",46039
26-Sep-2019,EQ,"191.00","196.50","190.25","189.90","195.70","195.95","195.08","259.75","171.10",8625560,"1,68,27,14,460.80",63611
25-Sep-2019,EQ,"196.10","196.60","188.90","197.80","189.40","189.90","191.70","259.75","171.10",7163444,"1,37,32,13,350.55",67225
24-Sep-2019,EQ,"199.95","202.35","196.05","200.00","197.30","197.80","198.65","259.75","171.10",5805761,"1,15,33,38,681.75",34148
