DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Dec-2023,EQ,"2,633.80","2,667.10","2,621.25","2,633.80","2,659.70","2,663.95","2,654.72","2,769.65","2,393.00",1305681,"3,46,62,12,596.90",89931
28-Dec-2023,EQ,"2,613.85","2,640.00","2,606.85","2,608.30","2,632.00","2,633.80","2,625.73","2,769.65","2,393.00",1635216,"4,29,36,39,124.65",102313
27-Dec-2023,EQ,"2,586.00","2,612.00","2,580.90","2,584.75","2,610.00","2,608.30","2,597.27","2,769.65","2,393.00",1073278,"2,78,75,90,913.10",79452
26-Dec-2023,EQ,"2,575.60","2,591.65","2,567.05","2,575.60","2,590.00","2,584.75","2,580.02","2,769.65","2,393.00",893776,"2,30,59,55,696.00",65199
22-Dec-2023,EQ,"2,559.20","2,579.75","2,546.80","2,553.20","2,576.00","2,575.60","2,568.92","2,769.65","2,393.00",1174984,"3,01,84,45,109.25",98784
21-Dec-2023,EQ,"2,542.25","2,580.00","2,536.00","2,557.50","2,553.00","2,553.20","2,560.42","2,769.65","2,393.00",1945695,"4,98,18,04,826.95",127998
20-Dec-2023,EQ,"2,572.95","2,572.95","2,547.00","2,560.70","2,554.00","2,557.50","2,558.72","2,769.65","2,393.00",1468642,"3,75,78,50,443.60",110114
19-Dec-2023,EQ,"2,535.05","2,566.95","2,535.00","2,535.50","2,560.00","2,560.70","2,556.88","2,769.65","2,393.00",1656220,"4,23,47,62,963.55",106776
18-Dec-2023,EQ,"2,520.15","2,544.50","2,515.00","2,522.90","2,541.00","2,535.50","2,535.79","2,769.65","2,393.00",1969036,"4,99,30,51,994.95",78786
15-Dec-2023,EQ,"2,520.00","2,532.00","2,507.00","2,516.35","2,529.95","2,522.90","2,516.53","2,769.65","2,393.00",2543337,"6,40,03,81,434.45",120790
14-Dec-2023,EQ,"2,521.35","2,524.80","2,501.20","2,511.90","2,518.95","2,516.35","2,511.51","2,769.65","2,393.00",2166569,"5,44,13,56,840.55",155414
13-Dec-2023,EQ,"2,507.85","2,516.70","2,498.05","2,502.75","2,515.70","2,511.90","2,507.48","2,769.65","2,393.00",1513205,"3,79,43,36,609.75",87891
12-Dec-2023,EQ,"2,500.00","2,518.00","2,497.00","2,503.65","2,502.00","2,502.75","2,504.24","2,769.65","2,393.00",1677929,"4,20,19,31,973.25",116074
11-Dec-2023,EQ,"2,522.30","2,529.95","2,499.00","2,522.30","2,503.70","2,503.65","2,504.76","2,769.65","2,393.00",2012243,"5,04,01,83,070.55",109950
08-Dec-2023,EQ,"2,519.00","2,533.95","2,508.30","2,518.25","2,525.30","2,522.30","2,520.65","2,769.65","2,393.00",1605805,"4,04,76,78,332.20",132487
07-Dec-2023,EQ,"2,551.10","2,559.80","2,498.60","2,567.65","2,522.15","2,518.25","2,515.87","2,769.65","2,393.00",3925967,"9,87,72,23,350.00",196009
06-Dec-2023,EQ,"2,570.00","2,583.70","2,563.00","2,563.25","2,572.00","2,567.65","2,572.82","2,769.65","2,393.00",1573754,"4,04,89,84,327.70",100288
05-Dec-2023,EQ,"2,637.00","2,637.00","2,556.30","2,602.30","2,563.00","2,563.25","2,582.73","2,769.65","2,393.00",3108717,"8,02,89,82,941.65",192832
04-Dec-2023,EQ,"2,577.00","2,608.40","2,575.00","2,563.65","2,602.00","2,602.30","2,595.39","2,769.65","2,393.00",2188039,"5,67,88,16,004.15",119825
