DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2020,EQ,"10.20","10.90","10.10","10.20","10.65","10.65","10.59","13.50","2.70",733827571,"7,77,03,99,985.70",238057
30-Dec-2020,EQ,"10.35","10.35","10.05","10.30","10.20","10.20","10.21","13.50","2.70",196181871,"2,00,25,93,189.50",132941
29-Dec-2020,EQ,"10.40","10.55","10.10","10.40","10.30","10.30","10.31","13.50","2.70",290602851,"2,99,59,93,317.65",129505
28-Dec-2020,EQ,"10.15","10.60","10.15","10.10","10.30","10.40","10.38","13.50","2.70",254691531,"2,64,46,89,026.45",159437
24-Dec-2020,EQ,"10.60","10.65","9.95","10.55","10.10","10.10","10.24","13.50","2.70",409236971,"4,19,15,04,336.65",248999
23-Dec-2020,EQ,"9.50","10.65","9.40","9.50","10.50","10.55","10.21","13.50","2.70",611362315,"6,24,18,26,272.70",440267
22-Dec-2020,EQ,"9.20","9.60","8.90","9.20","9.50","9.50","9.33","13.50","2.70",379432196,"3,53,84,53,554.50",189678
21-Dec-2020,EQ,"9.95","10.05","8.90","9.85","9.20","9.20","9.54","13.50","2.70",341621075,"3,25,89,37,801.65",204899
18-Dec-2020,EQ,"9.90","10.15","9.70","9.95","9.85","9.85","9.88","13.50","2.70",203187097,"2,00,68,77,742.05",164162
17-Dec-2020,EQ,"9.95","10.25","9.80","10.00","9.85","9.95","10.03","13.50","2.70",229483126,"2,30,15,12,458.35",129372
16-Dec-2020,EQ,"9.95","10.15","9.80","9.90","9.95","10.00","9.96","13.50","2.70",162488886,"1,61,76,49,585.85",119414
15-Dec-2020,EQ,"10.05","10.05","9.70","10.05","9.90","9.90","9.89","13.50","2.70",140533584,"1,39,04,39,110.50",129572
14-Dec-2020,EQ,"10.25","10.40","9.90","10.10","10.05","10.05","10.09","13.50","2.70",275807086,"2,78,28,52,658.15",169351
11-Dec-2020,EQ,"9.85","10.35","9.70","9.85","10.15","10.10","10.05","13.50","2.70",414971366,"4,17,25,12,902.90",148307
10-Dec-2020,EQ,"9.90","10.10","9.65","9.85","9.80","9.85","9.84","13.50","2.70",159494190,"1,57,00,25,100.15",123228
09-Dec-2020,EQ,"9.60","10.00","9.45","9.55","9.90","9.85","9.72","13.50","2.70",299947714,"2,91,46,88,698.65",146972
08-Dec-2020,EQ,"9.60","9.85","9.50","9.60","9.55","9.55","9.65","13.50","2.70",169069975,"1,63,17,99,530.45",136872
07-Dec-2020,EQ,"9.80","9.85","9.55","9.75","9.60","9.60","9.66","13.50","2.70",134836089,"1,30,21,98,679.80",106298
