DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
04-Jan-2023,EQ,"1,521.00","1,521.00","1,491.10","1,522.55","1,494.95","1,494.80","1,501.49","1,953.90","1,355.00",7059590,"10,59,99,36,790.80",213900
03-Jan-2023,EQ,"1,519.85","1,532.65","1,515.10","1,524.00","1,521.00","1,522.55","1,526.71","1,953.90","1,355.00",4551130,"6,94,82,67,864.80",118266
02-Jan-2023,EQ,"1,514.00","1,526.50","1,504.05","1,508.20","1,524.40","1,524.00","1,518.62","1,953.90","1,355.00",3801140,"5,77,24,95,934.15",103834
30-Dec-2022,EQ,"1,528.00","1,530.40","1,504.05","1,517.55","1,508.60","1,508.20","1,518.27","1,953.90","1,355.00",5060544,"7,68,32,72,019.95",123954
29-Dec-2022,EQ,"1,504.00","1,521.30","1,501.00","1,510.15","1,519.00","1,517.55","1,511.51","1,953.90","1,355.00",4624745,"6,99,03,42,622.05",116090
28-Dec-2022,EQ,"1,505.10","1,524.95","1,498.50","1,514.85","1,510.00","1,510.15","1,510.98","1,953.90","1,355.00",5029860,"7,60,00,16,720.25",138568
27-Dec-2022,EQ,"1,509.95","1,521.45","1,497.50","1,502.40","1,516.40","1,514.85","1,509.99","1,953.90","1,355.00",4860076,"7,33,86,89,836.70",151234
26-Dec-2022,EQ,"1,500.50","1,509.90","1,496.35","1,497.10","1,500.35","1,502.40","1,504.05","1,953.90","1,355.00",4115459,"6,18,98,68,085.40",128273
23-Dec-2022,EQ,"1,508.70","1,509.90","1,493.00","1,522.05","1,498.30","1,497.10","1,501.85","1,953.90","1,355.00",6283822,"9,43,73,76,869.85",209853
22-Dec-2022,EQ,"1,521.50","1,529.95","1,511.75","1,509.55","1,518.00","1,522.05","1,521.35","1,953.90","1,355.00",6302640,"9,58,85,15,437.25",162243
21-Dec-2022,EQ,"1,515.00","1,521.00","1,502.35","1,507.30","1,512.10","1,509.55","1,511.41","1,953.90","1,355.00",6236361,"9,42,57,17,455.45",168630
20-Dec-2022,EQ,"1,501.00","1,516.00","1,482.45","1,507.35","1,505.90","1,507.30","1,499.43","1,953.90","1,355.00",7396259,"11,09,01,63,957.45",252252
19-Dec-2022,EQ,"1,507.95","1,516.90","1,495.05","1,522.20","1,510.00","1,507.35","1,507.63","1,953.90","1,355.00",6222740,"9,38,15,70,380.60",208003
16-Dec-2022,EQ,"1,525.00","1,549.50","1,512.05","1,540.50","1,521.50","1,522.20","1,526.77","1,953.90","1,355.00",9630453,"14,70,35,23,653.25",191749
15-Dec-2022,EQ,"1,569.30","1,570.00","1,535.25","1,579.40","1,539.95","1,540.50","1,549.15","1,953.90","1,355.00",6443866,"9,98,25,26,579.70",185365
14-Dec-2022,EQ,"1,582.00","1,588.50","1,573.00","1,572.15","1,574.00","1,579.40","1,581.49","1,953.90","1,355.00",4976020,"7,86,95,15,572.65",143293
13-Dec-2022,EQ,"1,547.20","1,577.50","1,541.15","1,547.20","1,571.00","1,572.15","1,563.52","1,953.90","1,355.00",6135067,"9,59,22,74,371.70",156994
12-Dec-2022,EQ,"1,550.00","1,565.95","1,530.05","1,569.30","1,545.20","1,547.20","1,545.76","1,953.90","1,355.00",8037679,"12,42,43,27,971.90",252048
09-Dec-2022,EQ,"1,628.00","1,628.00","1,561.10","1,620.15","1,570.20","1,569.30","1,581.54","1,953.90","1,355.00",8880658,"14,04,51,08,335.70",324427
08-Dec-2022,EQ,"1,605.50","1,623.90","1,598.50","1,605.50","1,619.50","1,620.15","1,611.67","1,953.90","1,355.00",4206837,"6,78,00,22,875.80",156038
07-Dec-2022,EQ,"1,608.00","1,623.80","1,596.70","1,612.90","1,602.00","1,605.50","1,612.56","1,953.90","1,355.00",4898087,"7,89,84,60,952.45",150548
06-Dec-2022,EQ,"1,625.00","1,626.00","1,607.55","1,639.75","1,614.00","1,612.90","1,614.65","1,953.90","1,355.00",4822398,"7,78,64,70,439.30",162481
05-Dec-2022,EQ,"1,638.00","1,644.85","1,623.30","1,637.90","1,638.65","1,639.75","1,634.50","1,953.90","1,355.00",3824966,"6,25,19,21,099.20",133011
02-Dec-2022,EQ,"1,656.00","1,661.80","1,633.95","1,657.10","1,640.95","1,637.90","1,642.69","1,953.90","1,355.00",4283343,"7,03,61,88,257.60",144010
01-Dec-2022,EQ,"1,656.20","1,672.60","1,652.30","1,634.95","1,655.75","1,657.10","1,660.59","1,953.90","1,355.00",5407928,"8,98,03,36,641.45",214832
30-Nov-2022,EQ,"1,619.95","1,645.75","1,613.15","1,629.05","1,639.00","1,634.95","1,630.66","1,953.90","1,355.00",11868134,"19,35,29,38,429.15",157980
