DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Dec-2023,EQ,"129.70","132.05","128.30","133.25","129.90","129.85","130.14","133.95","72.35",30650133,"3,98,88,15,921.35",124907
28-Dec-2023,EQ,"127.00","133.95","126.50","126.60","133.00","133.25","131.44","133.95","72.35",54672874,"7,18,63,16,192.80",151039
27-Dec-2023,EQ,"128.40","128.90","125.45","128.05","126.80","126.60","127.15","128.90","72.35",16455934,"2,09,23,57,996.90",92611
26-Dec-2023,EQ,"123.90","128.50","123.60","123.70","127.80","128.05","126.91","128.50","72.35",30770511,"3,90,50,83,036.65",98149
22-Dec-2023,EQ,"124.25","125.00","122.10","124.15","123.60","123.70","123.54","126.40","72.35",12915880,"1,59,56,79,355.50",55881
21-Dec-2023,EQ,"118.00","124.50","117.35","120.05","124.35","124.15","122.08","126.40","72.35",20805929,"2,54,00,51,690.65",88420
20-Dec-2023,EQ,"125.60","126.40","119.00","124.70","119.85","120.05","123.58","126.40","72.35",27660494,"3,41,81,73,563.80",98412
19-Dec-2023,EQ,"125.00","125.95","124.20","124.35","124.85","124.70","125.14","125.95","72.35",22074723,"2,76,24,80,112.60",72800
18-Dec-2023,EQ,"124.45","125.80","123.20","123.80","124.20","124.35","124.74","125.80","72.35",19345644,"2,41,32,09,364.80",78582
15-Dec-2023,EQ,"120.30","124.95","119.65","120.10","123.85","123.80","122.84","124.95","72.35",43200717,"5,30,69,13,733.95",112891
14-Dec-2023,EQ,"120.50","120.50","119.35","119.65","120.10","120.10","119.89","122.50","72.35",20038925,"2,40,24,33,879.60",79071
13-Dec-2023,EQ,"118.50","119.85","118.05","117.55","119.65","119.65","118.96","122.50","72.35",23660687,"2,81,46,03,253.60",114456
12-Dec-2023,EQ,"118.00","118.90","116.90","117.50","117.55","117.55","117.87","122.50","72.35",15735665,"1,85,47,00,435.30",74832
11-Dec-2023,EQ,"119.90","121.00","116.60","118.80","117.50","117.50","118.42","122.50","72.35",28917089,"3,42,42,24,417.40",105566
08-Dec-2023,EQ,"122.15","122.45","117.35","121.35","118.80","118.80","119.98","122.50","72.35",22610433,"2,71,28,63,747.45",80460
07-Dec-2023,EQ,"120.30","122.50","119.55","119.30","121.50","121.35","121.30","122.50","72.35",38173544,"4,63,05,32,792.80",108302
