DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"898.05","906.40","896.60","898.95","901.15","901.50","901.74","1,063.00","761.75",1031176,"92,98,52,355.85",32730
30-Dec-2024,EQ,"913.30","916.70","895.60","913.30","901.90","898.95","904.84","1,063.00","761.75",1959379,"1,77,29,23,796.85",69037
27-Dec-2024,EQ,"914.65","926.50","911.25","914.45","914.00","913.30","916.43","1,063.00","761.75",1917836,"1,75,75,54,068.45",57701
26-Dec-2024,EQ,"921.85","929.40","913.10","921.85","914.50","914.45","918.76","1,063.00","761.75",2056005,"1,88,89,70,215.25",49000
24-Dec-2024,EQ,"937.05","937.95","918.45","937.05","923.80","921.85","925.84","1,063.00","761.75",2048135,"1,89,62,52,318.55",66439
23-Dec-2024,EQ,"936.00","950.95","921.60","917.35","939.00","937.05","938.78","1,063.00","761.75",3988457,"3,74,42,89,436.95",116761
20-Dec-2024,EQ,"926.00","941.70","912.05","925.95","931.45","917.35","918.29","1,063.00","761.75",29003345,"26,63,34,00,386.15",189843
19-Dec-2024,EQ,"934.05","942.70","921.60","946.85","925.00","925.95","928.20","1,063.00","761.75",1926448,"1,78,81,35,678.65",91265
18-Dec-2024,EQ,"967.05","969.50","941.55","966.85","949.75","946.85","951.29","1,063.00","761.75",1612799,"1,53,42,46,901.90",75989
17-Dec-2024,EQ,"990.35","990.80","961.00","990.35","963.00","966.85","974.54","1,063.00","761.75",1673092,"1,63,05,00,702.05",62400
16-Dec-2024,EQ,"1,004.00","1,006.30","984.00","999.85","990.80","990.35","989.01","1,063.00","761.75",1220082,"1,20,66,73,958.00",56858
13-Dec-2024,EQ,"995.00","1,003.50","973.05","1,005.80","997.15","999.85","988.63","1,063.00","761.75",2444182,"2,41,63,91,727.35",92478
12-Dec-2024,EQ,"1,005.00","1,012.95","991.00","1,000.20","1,002.40","1,005.80","1,003.23","1,063.00","761.75",1510341,"1,51,52,19,000.30",67074
11-Dec-2024,EQ,"1,015.90","1,020.50","997.10","1,012.95","998.00","1,000.20","1,009.21","1,063.00","761.75",1246315,"1,25,77,93,183.40",47749
10-Dec-2024,EQ,"1,021.00","1,023.50","1,006.65","1,011.90","1,013.10","1,012.95","1,014.27","1,063.00","761.75",2227505,"2,25,92,99,962.55",69338
09-Dec-2024,EQ,"1,005.50","1,015.50","993.80","1,003.80","1,012.00","1,011.90","1,006.87","1,063.00","761.75",1457470,"1,46,74,85,510.40",53427
06-Dec-2024,EQ,"999.90","1,008.00","994.65","999.20","1,003.60","1,003.80","1,002.39","1,063.00","761.75",1218982,"1,22,18,90,538.00",56459
05-Dec-2024,EQ,"991.00","1,009.95","977.00","994.85","998.00","999.20","996.01","1,063.00","761.75",2221958,"2,21,30,91,663.55",109303
04-Dec-2024,EQ,"996.10","1,003.00","985.35","998.80","993.25","994.85","993.09","1,063.00","761.75",1030877,"1,02,37,52,294.60",59058
03-Dec-2024,EQ,"995.00","1,015.50","991.05","989.80","997.95","998.80","998.66","1,063.00","761.75",2118830,"2,11,59,82,146.15",100022
02-Dec-2024,EQ,"965.90","991.55","961.75","966.00","990.40","989.80","982.04","1,063.00","761.75",1272868,"1,25,00,03,396.15",58754
29-Nov-2024,EQ,"959.00","971.70","953.40","954.15","965.20","966.00","965.64","1,063.00","761.75",1326686,"1,28,11,04,195.80",55860
28-Nov-2024,EQ,"968.85","974.95","949.05","968.85","958.50","954.15","960.86","1,063.00","761.75",2959350,"2,84,35,26,232.40",129053
27-Nov-2024,EQ,"963.35","972.00","955.25","963.60","972.00","968.85","964.92","1,063.00","761.75",1327011,"1,28,04,65,915.50",51102
26-Nov-2024,EQ,"955.00","966.80","950.60","953.30","961.50","963.60","960.41","1,063.00","761.75",1184177,"1,13,73,00,261.85",46806
25-Nov-2024,EQ,"975.00","980.45","945.65","977.35","954.70","953.30","955.52","1,063.00","761.75",4563438,"4,36,04,69,621.50",116465
22-Nov-2024,EQ,"947.90","981.30","939.05","944.15","975.00","977.35","970.20","1,063.00","760.65",1889389,"1,83,30,78,989.00",80205
21-Nov-2024,EQ,"941.00","950.95","936.45","947.30","946.40","944.15","943.64","1,063.00","760.65",1669641,"1,57,55,34,363.95",87941
19-Nov-2024,EQ,"949.85","960.95","945.00","949.85","945.75","947.30","953.91","1,063.00","760.65",617409,"58,89,55,652.40",43764
18-Nov-2024,EQ,"935.05","956.05","934.90","939.05","950.00","949.85","948.34","1,063.00","760.65",1143965,"1,08,48,70,368.60",58621
14-Nov-2024,EQ,"935.05","949.35","932.45","935.95","940.00","939.05","939.12","1,063.00","753.00",1662673,"1,56,14,50,965.70",93878
13-Nov-2024,EQ,"953.50","958.25","928.05","957.25","936.90","935.95","938.26","1,063.00","753.00",1167594,"1,09,55,11,314.75",64417
12-Nov-2024,EQ,"987.00","987.80","953.65","979.00","955.95","957.25","966.97","1,063.00","753.00",731821,"70,76,47,068.60",51635
11-Nov-2024,EQ,"988.00","995.45","972.00","996.40","981.00","979.00","983.75","1,063.00","753.00",1336153,"1,31,44,38,219.55",63156
08-Nov-2024,EQ,"994.00","1,001.55","976.50","989.80","995.00","996.40","989.35","1,063.00","744.90",3568198,"3,53,01,95,037.35",93855
07-Nov-2024,EQ,"1,014.00","1,018.95","985.65","1,008.65","990.95","989.80","995.86","1,063.00","744.90",2477876,"2,46,76,13,945.45",81126
06-Nov-2024,EQ,"1,000.00","1,015.05","984.70","999.50","1,007.75","1,008.65","1,001.82","1,063.00","744.90",2761749,"2,76,67,80,167.30",120025
05-Nov-2024,EQ,"954.90","1,003.00","952.00","954.90","998.50","999.50","985.08","1,063.00","744.90",5177028,"5,09,98,10,366.00",148802
04-Nov-2024,EQ,"965.05","968.85","941.10","968.30","950.75","954.90","951.86","1,063.00","744.90",957723,"91,16,15,099.45",58875
01-Nov-2024,EQ,"969.90","978.00","965.00","963.65","965.00","968.30","969.49","1,063.00","723.00",136508,"13,23,43,260.70",8643
31-Oct-2024,EQ,"958.00","967.85","954.45","957.30","963.65","963.65","962.40","1,063.00","723.00",1445602,"1,39,12,49,147.90",74181
30-Oct-2024,EQ,"966.20","968.55","952.30","958.80","955.90","957.30","960.64","1,063.00","723.00",733890,"70,50,05,713.55",41167
29-Oct-2024,EQ,"972.45","972.80","947.00","967.25","959.35","958.80","956.14","1,063.00","723.00",1032874,"98,75,69,438.50",67806
28-Oct-2024,EQ,"936.00","972.45","909.00","943.85","972.15","967.25","958.22","1,063.00","723.00",1737402,"1,66,48,19,782.55",68693
25-Oct-2024,EQ,"958.10","959.95","926.80","958.10","950.20","943.85","940.37","1,063.00","723.00",2541293,"2,38,97,67,516.40",107371
24-Oct-2024,EQ,"954.45","962.05","952.45","954.45","956.35","958.10","957.79","1,063.00","723.00",650392,"62,29,39,070.10",33758
23-Oct-2024,EQ,"963.65","971.00","952.15","963.65","955.00","954.45","959.48","1,063.00","723.00",1306503,"1,25,35,57,428.85",58180
22-Oct-2024,EQ,"981.00","983.30","960.40","981.45","967.55","963.65","970.00","1,063.00","723.00",1318146,"1,27,86,01,823.75",64170
21-Oct-2024,EQ,"997.00","1,005.00","980.05","992.60","981.00","981.45","986.23","1,063.00","723.00",953143,"94,00,14,732.05",47161
18-Oct-2024,EQ,"978.50","998.25","973.10","979.50","995.00","992.60","991.17","1,063.00","723.00",1291683,"1,28,02,82,566.00",60337
17-Oct-2024,EQ,"991.10","995.20","969.75","989.35","981.00","979.50","979.75","1,063.00","723.00",1079467,"1,05,76,06,118.15",38169
16-Oct-2024,EQ,"995.00","1,004.80","982.05","1,000.85","988.00","989.35","990.17","1,063.00","723.00",1248745,"1,23,64,71,048.20",54664
15-Oct-2024,EQ,"1,012.50","1,020.60","992.00","1,012.50","1,001.80","1,000.85","1,001.16","1,063.00","723.00",1444250,"1,44,59,31,455.65",45432
14-Oct-2024,EQ,"1,017.00","1,032.00","1,009.40","1,012.05","1,010.15","1,012.50","1,019.10","1,063.00","723.00",1831080,"1,86,60,45,932.25",60889
11-Oct-2024,EQ,"1,007.30","1,025.95","1,006.00","1,007.40","1,019.45","1,012.05","1,015.61","1,063.00","723.00",1957211,"1,98,77,65,540.45",76753
10-Oct-2024,EQ,"999.00","1,012.95","996.75","994.50","1,012.85","1,007.40","1,003.24","1,063.00","723.00",1368830,"1,37,32,60,188.00",71675
09-Oct-2024,EQ,"999.90","1,011.50","985.00","998.20","993.80","994.50","998.03","1,063.00","723.00",2138939,"2,13,47,33,730.95",67763
08-Oct-2024,EQ,"1,014.40","1,014.40","984.00","1,018.75","1,001.80","998.20","994.81","1,063.00","723.00",4115797,"4,09,44,23,707.20",116624
07-Oct-2024,EQ,"1,039.95","1,044.10","1,012.50","1,033.75","1,020.55","1,018.75","1,021.13","1,063.00","723.00",2708970,"2,76,61,97,912.30",89285
04-Oct-2024,EQ,"1,042.00","1,063.00","1,027.30","1,039.10","1,034.50","1,033.75","1,044.13","1,063.00","723.00",4855592,"5,06,98,74,554.30",163107
03-Oct-2024,EQ,"1,028.00","1,060.00","1,025.45","1,027.30","1,041.00","1,039.10","1,046.76","1,060.00","723.00",6615927,"6,92,52,79,132.70",185832
01-Oct-2024,EQ,"1,029.00","1,029.95","1,014.40","1,030.05","1,027.25","1,027.30","1,023.42","1,032.90","723.00",1392457,"1,42,50,61,947.20",49939
30-Sep-2024,EQ,"1,004.00","1,032.90","1,004.00","1,001.55","1,030.00","1,030.05","1,025.50","1,032.90","723.00",4250590,"4,35,89,74,062.15",119042
27-Sep-2024,EQ,"1,008.00","1,018.90","997.50","1,005.55","1,000.00","1,001.55","1,006.66","1,018.90","723.00",2757284,"2,77,56,50,942.00",100527
26-Sep-2024,EQ,"984.00","1,007.95","975.45","982.65","1,000.20","1,005.55","998.60","1,009.80","723.00",2706617,"2,70,28,19,924.85",83097
25-Sep-2024,EQ,"996.00","998.65","972.70","989.70","982.75","982.65","982.88","1,009.80","723.00",1309311,"1,28,69,00,548.40",67832
24-Sep-2024,EQ,"991.30","1,009.80","985.15","982.10","985.75","989.70","997.37","1,009.80","723.00",5545642,"5,53,10,73,388.55",115334
23-Sep-2024,EQ,"986.00","987.95","976.20","981.55","982.50","982.10","981.05","988.00","723.00",1714600,"1,68,21,10,085.15",47306
20-Sep-2024,EQ,"970.00","988.00","965.20","948.40","983.35","981.55","980.16","988.00","723.00",8035572,"7,87,61,20,990.50",222180
19-Sep-2024,EQ,"960.00","965.95","944.00","956.70","950.00","948.40","950.66","978.55","723.00",1278919,"1,21,58,16,739.85",65085
18-Sep-2024,EQ,"962.05","970.95","950.00","964.25","955.50","956.70","961.22","978.55","723.00",644373,"61,93,84,961.00",26093
17-Sep-2024,EQ,"971.00","974.55","961.70","971.00","962.50","964.25","966.58","978.55","723.00",543055,"52,49,08,498.15",32217
16-Sep-2024,EQ,"961.40","978.55","957.10","954.55","970.90","971.00","970.14","978.55","723.00",2186706,"2,12,14,03,142.80",56533
13-Sep-2024,EQ,"958.00","972.45","951.35","954.80","953.00","954.55","961.46","972.45","723.00",2445329,"2,35,10,83,061.80",74058
12-Sep-2024,EQ,"935.80","957.60","929.00","927.75","955.00","954.80","946.51","968.90","723.00",3061006,"2,89,72,70,822.45",110033
11-Sep-2024,EQ,"941.05","944.30","924.25","938.75","925.05","927.75","931.22","968.90","723.00",1087490,"1,01,26,96,893.40",59102
10-Sep-2024,EQ,"934.10","948.50","929.80","934.25","939.00","938.75","940.11","968.90","723.00",1388455,"1,30,52,95,566.90",61389
09-Sep-2024,EQ,"923.00","936.70","919.05","932.80","931.80","934.25","930.53","968.90","723.00",1793548,"1,66,89,42,662.35",49828
06-Sep-2024,EQ,"925.45","939.40","911.70","925.45","931.00","932.80","928.84","968.90","723.00",1984209,"1,84,30,07,362.80",77707
05-Sep-2024,EQ,"934.55","944.55","923.75","933.05","925.50","925.45","932.16","968.90","723.00",1482001,"1,38,14,66,565.50",64650
04-Sep-2024,EQ,"920.00","934.70","912.00","930.95","932.45","933.05","925.08","968.90","723.00",3020790,"2,79,44,80,680.05",58603
03-Sep-2024,EQ,"937.10","941.55","929.95","940.45","931.00","930.95","934.02","968.90","723.00",1116938,"1,04,32,46,930.05",62297
02-Sep-2024,EQ,"941.10","951.45","936.15","941.10","938.15","940.45","943.49","968.90","723.00",1316611,"1,24,22,05,352.70",60438
30-Aug-2024,EQ,"947.90","954.75","938.65","939.70","943.95","941.10","943.53","968.90","723.00",2896103,"2,73,25,67,744.55",75123
29-Aug-2024,EQ,"945.00","950.50","930.80","949.25","938.20","939.70","940.14","968.90","723.00",2233515,"2,09,98,19,582.65",91159
28-Aug-2024,EQ,"947.50","951.50","935.00","944.00","948.85","949.25","945.04","968.90","723.00",2285575,"2,15,99,61,078.00",76872
27-Aug-2024,EQ,"963.45","966.95","942.75","963.50","943.80","944.00","949.74","968.90","723.00",2480788,"2,35,61,04,292.05",78810
