DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"1,690.40","1,691.25","1,670.35","1,690.40","1,685.00","1,684.35","1,677.99","1,734.80","1,198.00",1969679,"3,30,51,03,723.00",51006
30-Dec-2019,EQ,"1,690.00","1,706.80","1,685.50","1,685.60","1,687.00","1,690.40","1,695.53","1,734.80","1,198.00",1868284,"3,16,77,39,389.45",76163
27-Dec-2019,EQ,"1,705.00","1,705.00","1,681.35","1,694.25","1,687.90","1,685.60","1,689.60","1,734.80","1,198.00",1529366,"2,58,40,13,887.10",81727
26-Dec-2019,EQ,"1,711.05","1,715.00","1,689.70","1,711.55","1,695.00","1,694.25","1,700.36","1,734.80","1,198.00",1646970,"2,80,04,49,539.50",70220
24-Dec-2019,EQ,"1,704.95","1,716.50","1,700.00","1,704.90","1,712.80","1,711.55","1,709.79","1,734.80","1,198.00",1702704,"2,91,12,62,335.50",76868
23-Dec-2019,EQ,"1,699.00","1,711.20","1,695.10","1,692.70","1,702.40","1,704.90","1,704.15","1,734.80","1,198.00",1745488,"2,97,45,69,209.95",97857
20-Dec-2019,EQ,"1,723.15","1,724.40","1,687.30","1,729.50","1,694.30","1,692.70","1,706.13","1,734.80","1,198.00",3058679,"5,21,84,90,279.15",148700
19-Dec-2019,EQ,"1,724.95","1,734.80","1,715.30","1,724.35","1,728.00","1,729.50","1,725.52","1,734.80","1,198.00",2701502,"4,66,14,94,381.60",92363
18-Dec-2019,EQ,"1,719.00","1,725.95","1,706.30","1,713.30","1,724.00","1,724.35","1,716.96","1,730.00","1,198.00",4592668,"7,88,54,14,486.55",127031
17-Dec-2019,EQ,"1,716.05","1,721.40","1,708.60","1,703.95","1,713.30","1,713.30","1,713.62","1,730.00","1,198.00",2646882,"4,53,57,44,129.45",81573
16-Dec-2019,EQ,"1,694.00","1,730.00","1,694.00","1,692.75","1,708.00","1,703.95","1,712.88","1,730.00","1,198.00",3662127,"6,27,27,74,661.30",141561
13-Dec-2019,EQ,"1,716.20","1,719.00","1,687.25","1,715.60","1,691.50","1,692.75","1,697.70","1,720.00","1,171.00",3527634,"5,98,88,77,134.85",105271
12-Dec-2019,EQ,"1,690.20","1,720.00","1,682.00","1,686.55","1,715.00","1,715.60","1,701.43","1,720.00","1,171.00",2695588,"4,58,63,57,329.30",72856
11-Dec-2019,EQ,"1,666.00","1,690.85","1,659.10","1,662.40","1,685.70","1,686.55","1,677.28","1,690.85","1,171.00",2029117,"3,40,33,96,981.95",92315
10-Dec-2019,EQ,"1,665.00","1,665.95","1,651.05","1,659.25","1,663.75","1,662.40","1,659.35","1,683.95","1,171.00",1413156,"2,34,49,17,338.05",64613
09-Dec-2019,EQ,"1,677.95","1,679.00","1,656.50","1,674.30","1,660.00","1,659.25","1,665.93","1,683.95","1,171.00",1893740,"3,15,48,33,716.65",83670
06-Dec-2019,EQ,"1,650.00","1,680.00","1,643.30","1,649.30","1,676.25","1,674.30","1,669.50","1,683.95","1,171.00",3799507,"6,34,32,82,506.20",85107
