DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2022,EQ,"2,115.00","2,133.00","2,081.10","2,110.90","2,086.15","2,085.80","2,103.37","2,211.60","1,456.35",1189427,"2,50,18,02,984.15",112712
29-Dec-2022,EQ,"2,109.65","2,120.55","2,094.15","2,121.10","2,114.95","2,110.90","2,107.28","2,211.60","1,456.35",1517150,"3,19,70,65,508.45",99779
28-Dec-2022,EQ,"2,129.00","2,136.00","2,113.65","2,124.10","2,113.65","2,121.10","2,127.77","2,211.60","1,456.35",1153883,"2,45,51,92,247.85",70753
27-Dec-2022,EQ,"2,101.55","2,128.00","2,085.00","2,091.05","2,121.00","2,124.10","2,111.04","2,211.60","1,456.35",1059351,"2,23,63,29,277.05",57659
26-Dec-2022,EQ,"2,052.75","2,108.00","2,051.00","2,062.75","2,088.10","2,091.05","2,092.46","2,211.60","1,456.35",1154610,"2,41,59,76,881.55",74970
23-Dec-2022,EQ,"2,094.50","2,104.15","2,050.10","2,109.95","2,063.00","2,062.75","2,072.91","2,211.60","1,456.35",2026125,"4,19,99,77,932.95",107760
22-Dec-2022,EQ,"2,144.00","2,148.35","2,096.90","2,146.30","2,107.95","2,109.95","2,115.60","2,211.60","1,456.35",1993744,"4,21,79,70,340.10",123082
21-Dec-2022,EQ,"2,153.10","2,174.95","2,142.85","2,163.25","2,147.00","2,146.30","2,155.04","2,211.60","1,456.35",1979681,"4,26,63,01,526.85",118119
20-Dec-2022,EQ,"2,179.90","2,179.90","2,138.00","2,184.00","2,158.30","2,163.25","2,151.64","2,211.60","1,456.35",1747181,"3,75,92,96,481.10",83014
19-Dec-2022,EQ,"2,171.00","2,187.45","2,155.05","2,175.00","2,184.85","2,184.00","2,170.38","2,211.60","1,456.35",1592779,"3,45,69,36,006.55",98420
16-Dec-2022,EQ,"2,161.00","2,211.60","2,161.00","2,177.55","2,170.00","2,175.00","2,185.09","2,211.60","1,456.35",2822390,"6,16,71,65,173.85",83635
15-Dec-2022,EQ,"2,196.70","2,209.00","2,173.60","2,195.45","2,179.70","2,177.55","2,190.57","2,210.00","1,456.35",1323412,"2,89,90,27,475.50",75193
14-Dec-2022,EQ,"2,176.95","2,210.00","2,175.05","2,172.90","2,193.30","2,195.45","2,192.63","2,210.00","1,456.35",1516631,"3,32,54,05,260.25",84461
13-Dec-2022,EQ,"2,170.00","2,175.70","2,152.50","2,163.70","2,168.00","2,172.90","2,163.77","2,194.35","1,456.35",1233124,"2,66,81,96,102.90",89348
12-Dec-2022,EQ,"2,148.90","2,169.00","2,134.55","2,154.05","2,157.00","2,163.70","2,155.40","2,194.35","1,456.35",1536090,"3,31,08,93,106.40",143712
09-Dec-2022,EQ,"2,168.00","2,194.35","2,137.50","2,167.70","2,150.00","2,154.05","2,168.51","2,194.35","1,456.35",2573609,"5,58,09,09,049.75",176599
08-Dec-2022,EQ,"2,120.00","2,175.00","2,120.00","2,124.00","2,165.00","2,167.70","2,151.53","2,175.00","1,456.35",3743754,"8,05,48,04,719.25",196918
07-Dec-2022,EQ,"2,096.30","2,144.00","2,096.30","2,093.50","2,125.00","2,124.00","2,125.63","2,144.00","1,456.35",3438327,"7,30,85,98,937.20",110877
06-Dec-2022,EQ,"2,081.00","2,100.00","2,067.00","2,085.60","2,095.00","2,093.50","2,084.45","2,110.00","1,456.35",1530731,"3,19,07,38,032.50",93923
05-Dec-2022,EQ,"2,095.95","2,096.80","2,068.85","2,085.50","2,088.60","2,085.60","2,082.63","2,110.00","1,456.35",1767537,"3,68,11,29,279.65",139331
02-Dec-2022,EQ,"2,096.10","2,098.90","2,069.15","2,104.25","2,090.00","2,085.50","2,082.38","2,110.00","1,456.35",1957264,"4,07,57,75,938.50",119334
01-Dec-2022,EQ,"2,085.25","2,110.00","2,079.45","2,074.85","2,103.00","2,104.25","2,100.03","2,110.00","1,456.35",2614357,"5,49,02,16,314.45",170950
30-Nov-2022,EQ,"2,053.00","2,086.00","2,045.00","2,050.55","2,079.40","2,074.85","2,067.65","2,095.80","1,456.35",2104550,"4,35,14,76,185.00",93170
29-Nov-2022,EQ,"2,070.00","2,072.00","2,038.60","2,064.45","2,052.50","2,050.55","2,051.20","2,095.80","1,456.35",1413764,"2,89,99,10,586.55",54385
28-Nov-2022,EQ,"2,064.35","2,072.00","2,052.00","2,062.75","2,065.05","2,064.45","2,063.16","2,095.80","1,456.35",1105372,"2,28,05,56,183.45",82072
25-Nov-2022,EQ,"2,061.00","2,095.80","2,058.45","2,052.20","2,063.00","2,062.75","2,076.45","2,095.80","1,456.35",2652761,"5,50,83,20,057.25",86701
24-Nov-2022,EQ,"2,030.50","2,060.00","2,028.40","2,025.00","2,056.00","2,052.20","2,045.48","2,078.55","1,456.35",1611889,"3,29,70,93,632.90",79111
23-Nov-2022,EQ,"2,038.95","2,044.00","2,018.00","2,029.80","2,023.05","2,025.00","2,025.59","2,078.55","1,456.35",1046988,"2,12,07,70,550.20",49707
22-Nov-2022,EQ,"2,021.55","2,033.15","2,019.60","2,011.45","2,028.00","2,029.80","2,027.68","2,078.55","1,456.35",1337869,"2,71,27,70,565.70",83629
21-Nov-2022,EQ,"2,019.00","2,033.00","2,007.00","2,024.45","2,011.00","2,011.45","2,015.00","2,078.55","1,456.35",714687,"1,44,00,94,725.55",48654
18-Nov-2022,EQ,"2,039.00","2,050.95","2,006.85","2,029.55","2,022.00","2,024.45","2,021.37","2,078.55","1,456.35",1248459,"2,52,35,98,621.05",62869
17-Nov-2022,EQ,"2,002.00","2,059.00","2,001.10","2,003.60","2,029.00","2,029.55","2,041.87","2,078.55","1,456.35",3786182,"7,73,08,89,147.20",166566
16-Nov-2022,EQ,"1,986.00","2,009.85","1,985.05","1,996.55","2,005.00","2,003.60","2,000.64","2,078.55","1,456.35",1195832,"2,39,24,34,223.80",84096
15-Nov-2022,EQ,"2,003.00","2,017.00","1,978.10","1,999.80","1,998.00","1,996.55","1,992.69","2,078.55","1,456.35",1450841,"2,89,10,79,407.75",64460
14-Nov-2022,EQ,"2,013.05","2,021.90","1,995.25","2,011.10","1,999.55","1,999.80","2,003.29","2,078.55","1,456.35",1175155,"2,35,41,72,444.05",54858
11-Nov-2022,EQ,"2,003.60","2,018.80","1,991.95","1,977.65","2,013.50","2,011.10","2,006.36","2,078.55","1,456.35",1203125,"2,41,38,99,459.35",64699
10-Nov-2022,EQ,"1,995.00","2,001.85","1,970.20","2,003.50","1,978.55","1,977.65","1,982.84","2,078.55","1,456.35",1261210,"2,50,07,78,677.20",75488
09-Nov-2022,EQ,"2,025.05","2,036.95","1,996.25","2,017.65","1,998.95","2,003.50","2,015.32","2,078.55","1,456.35",1301233,"2,62,24,00,693.30",52850
07-Nov-2022,EQ,"2,021.40","2,032.00","1,993.00","2,015.10","2,015.00","2,017.65","2,012.12","2,078.55","1,456.35",1395070,"2,80,70,43,166.30",66966
04-Nov-2022,EQ,"2,010.00","2,029.35","2,004.75","2,008.70","2,015.00","2,015.10","2,015.30","2,078.55","1,456.35",2312753,"4,66,08,81,969.10",57040
03-Nov-2022,EQ,"2,006.00","2,022.50","1,993.00","2,013.30","2,005.00","2,008.70","2,006.19","2,078.55","1,456.35",1052241,"2,11,09,90,440.90",55079
02-Nov-2022,EQ,"2,036.50","2,042.00","2,000.00","2,024.45","2,014.10","2,013.30","2,014.85","2,078.55","1,456.35",1889651,"3,80,73,57,637.45",65656
01-Nov-2022,EQ,"2,032.00","2,056.00","1,990.05","2,023.10","2,021.00","2,024.45","2,022.17","2,078.55","1,456.35",4464211,"9,02,73,84,925.65",170291
31-Oct-2022,EQ,"1,986.00","2,034.65","1,978.20","1,975.05","2,031.45","2,023.10","2,008.32","2,078.55","1,456.35",3176507,"6,37,94,42,441.50",130454
28-Oct-2022,EQ,"1,972.00","1,986.00","1,963.80","1,964.05","1,976.80","1,975.05","1,977.14","2,078.55","1,456.35",2013794,"3,98,15,59,566.15",88886
27-Oct-2022,EQ,"1,952.10","1,971.85","1,949.90","1,949.10","1,965.00","1,964.05","1,960.03","2,078.55","1,456.35",2245395,"4,40,10,44,504.05",102048
25-Oct-2022,EQ,"1,915.00","1,954.65","1,891.55","1,909.75","1,945.00","1,949.10","1,935.14","2,078.55","1,456.35",2136147,"4,13,37,45,568.60",67113
24-Oct-2022,EQ,"1,906.00","1,919.90","1,900.00","1,876.75","1,910.65","1,909.75","1,912.92","2,078.55","1,456.35",269400,"51,53,41,652.95",17096
21-Oct-2022,EQ,"1,913.70","1,925.00","1,867.10","1,904.15","1,874.45","1,876.75","1,895.07","2,078.55","1,456.35",2225676,"4,21,78,09,348.95",83528
20-Oct-2022,EQ,"1,898.65","1,917.80","1,886.30","1,904.90","1,903.60","1,904.15","1,904.45","2,078.55","1,456.35",1374019,"2,61,67,54,652.10",57551
19-Oct-2022,EQ,"1,920.00","1,947.00","1,901.65","1,918.10","1,903.00","1,904.90","1,917.04","2,078.55","1,456.35",1636141,"3,13,65,46,899.05",62715
18-Oct-2022,EQ,"1,893.10","1,931.20","1,893.10","1,883.20","1,919.00","1,918.10","1,918.49","2,078.55","1,456.35",1401849,"2,68,94,34,310.80",72912
17-Oct-2022,EQ,"1,902.90","1,914.00","1,878.40","1,911.60","1,884.40","1,883.20","1,888.40","2,078.55","1,456.35",2588147,"4,88,74,52,718.50",72718
14-Oct-2022,EQ,"1,900.00","1,936.75","1,898.45","1,876.15","1,915.00","1,911.60","1,922.94","2,078.55","1,456.35",1819114,"3,49,80,38,048.10",81440
13-Oct-2022,EQ,"1,901.00","1,912.00","1,868.25","1,911.25","1,879.70","1,876.15","1,884.74","2,078.55","1,456.35",1303645,"2,45,70,34,059.95",64804
