DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2025,EQ,"3,653.00","3,723.60","3,640.40","3,660.30","3,716.00","3,709.20","3,684.25","3,795.00","2,425.00",1868363,"6,88,35,22,424.60",105249
30-Dec-2025,EQ,"3,590.00","3,666.00","3,575.20","3,592.10","3,660.00","3,660.30","3,646.84","3,795.00","2,425.00",2063179,"7,52,40,77,539.00",123302
29-Dec-2025,EQ,"3,622.70","3,640.20","3,588.10","3,623.10","3,595.00","3,592.10","3,614.18","3,795.00","2,425.00",1034692,"3,73,95,65,908.10",59021
26-Dec-2025,EQ,"3,636.70","3,647.00","3,614.60","3,636.70","3,627.00","3,623.10","3,626.77","3,795.00","2,425.00",829910,"3,00,98,90,089.10",38529
24-Dec-2025,EQ,"3,624.60","3,658.00","3,612.10","3,625.10","3,636.10","3,636.70","3,640.27","3,795.00","2,425.00",842897,"3,06,83,68,459.70",53785
23-Dec-2025,EQ,"3,619.20","3,637.50","3,605.00","3,616.70","3,622.00","3,625.10","3,621.54","3,795.00","2,425.00",1413628,"5,11,95,09,275.80",95084
22-Dec-2025,EQ,"3,600.00","3,625.00","3,576.90","3,603.60","3,612.50","3,616.70","3,606.92","3,795.00","2,425.00",1400786,"5,05,25,26,395.20",108908
19-Dec-2025,EQ,"3,571.00","3,615.00","3,560.00","3,586.60","3,605.00","3,603.60","3,598.04","3,795.00","2,425.00",1647819,"5,92,89,15,962.40",93791
18-Dec-2025,EQ,"3,600.00","3,611.90","3,540.10","3,612.80","3,585.00","3,586.60","3,568.76","3,795.00","2,425.00",2446168,"8,72,97,93,973.50",142491
17-Dec-2025,EQ,"3,647.90","3,647.90","3,594.00","3,621.00","3,612.50","3,612.80","3,612.94","3,795.00","2,425.00",1209367,"4,36,93,65,281.50",103978
16-Dec-2025,EQ,"3,581.00","3,633.50","3,577.90","3,608.00","3,628.90","3,621.00","3,617.75","3,795.00","2,425.00",1394406,"5,04,46,17,192.80",108047
15-Dec-2025,EQ,"3,632.00","3,665.40","3,603.60","3,679.60","3,609.70","3,608.00","3,619.21","3,795.00","2,425.00",1704069,"6,16,73,80,944.30",152694
12-Dec-2025,EQ,"3,665.40","3,695.00","3,661.30","3,665.20","3,679.10","3,679.60","3,679.41","3,795.00","2,425.00",1078982,"3,97,00,13,397.30",88836
11-Dec-2025,EQ,"3,623.40","3,669.10","3,615.90","3,630.00","3,658.60","3,665.20","3,642.92","3,795.00","2,425.00",981456,"3,57,53,66,554.50",81623
10-Dec-2025,EQ,"3,660.00","3,694.90","3,626.20","3,635.90","3,633.40","3,630.00","3,654.49","3,795.00","2,425.00",1593915,"5,82,49,43,872.10",99751
09-Dec-2025,EQ,"3,658.00","3,674.40","3,604.50","3,681.70","3,648.40","3,635.90","3,633.20","3,795.00","2,425.00",3901255,"14,17,40,28,840.00",159487
08-Dec-2025,EQ,"3,720.00","3,725.00","3,671.60","3,717.10","3,679.00","3,681.70","3,689.44","3,795.00","2,425.00",1500195,"5,53,48,85,312.70",97521
05-Dec-2025,EQ,"3,659.30","3,721.50","3,642.50","3,671.60","3,708.30","3,717.10","3,704.63","3,795.00","2,425.00",2393280,"8,86,62,05,885.30",80840
04-Dec-2025,EQ,"3,675.00","3,678.20","3,620.20","3,649.40","3,670.00","3,671.60","3,662.60","3,795.00","2,425.00",1984001,"7,26,66,08,912.70",114158
03-Dec-2025,EQ,"3,736.00","3,740.00","3,640.00","3,716.50","3,649.00","3,649.40","3,660.65","3,795.00","2,425.00",2002476,"7,33,03,56,933.00",111944
02-Dec-2025,EQ,"3,722.80","3,748.00","3,705.50","3,741.60","3,720.90","3,716.50","3,721.62","3,795.00","2,425.00",2285922,"8,50,73,25,850.30",108543
01-Dec-2025,EQ,"3,790.00","3,795.00","3,730.00","3,757.30","3,733.00","3,741.60","3,755.36","3,795.00","2,425.00",1830158,"6,87,29,04,233.50",124425
28-Nov-2025,EQ,"3,692.00","3,768.90","3,690.10","3,681.20","3,761.00","3,757.30","3,749.96","3,781.00","2,425.00",2944457,"11,04,15,89,221.50",150530
27-Nov-2025,EQ,"3,701.50","3,717.60","3,665.00","3,686.40","3,679.00","3,681.20","3,684.90","3,781.00","2,425.00",1993274,"7,34,50,23,294.10",125917
26-Nov-2025,EQ,"3,681.00","3,708.00","3,669.30","3,669.30","3,686.40","3,686.40","3,686.10","3,781.00","2,425.00",2116524,"7,80,17,10,688.40",102699
25-Nov-2025,EQ,"3,687.00","3,695.80","3,653.00","3,690.80","3,660.70","3,669.30","3,675.94","3,781.00","2,425.00",1714176,"6,30,12,02,655.30",112437
24-Nov-2025,EQ,"3,745.10","3,749.50","3,677.20","3,749.60","3,687.00","3,690.80","3,698.21","3,781.00","2,425.00",4059935,"15,01,44,84,799.60",173533
21-Nov-2025,EQ,"3,730.00","3,779.00","3,726.00","3,716.70","3,747.00","3,749.60","3,758.37","3,781.00","2,425.00",3184145,"11,96,71,79,242.90",133438
20-Nov-2025,EQ,"3,744.80","3,759.00","3,711.10","3,722.50","3,711.80","3,716.70","3,734.77","3,781.00","2,425.00",1815617,"6,78,09,19,678.00",109216
19-Nov-2025,EQ,"3,695.00","3,746.50","3,667.80","3,694.80","3,718.00","3,722.50","3,719.32","3,781.00","2,425.00",1626043,"6,04,77,72,644.50",79016
18-Nov-2025,EQ,"3,718.50","3,732.70","3,688.00","3,734.90","3,699.00","3,694.80","3,704.51","3,781.00","2,425.00",2613743,"9,68,26,41,192.00",80348
17-Nov-2025,EQ,"3,710.00","3,754.50","3,682.30","3,698.60","3,731.70","3,734.90","3,731.18","3,781.00","2,425.00",2094008,"7,81,31,20,933.70",113027
14-Nov-2025,EQ,"3,700.00","3,716.80","3,660.50","3,699.50","3,698.00","3,698.60","3,694.19","3,781.00","2,425.00",1847028,"6,82,32,70,329.90",99835
13-Nov-2025,EQ,"3,748.20","3,754.10","3,690.20","3,754.30","3,699.40","3,699.50","3,722.97","3,781.00","2,425.00",1599079,"5,95,33,30,624.90",82467
12-Nov-2025,EQ,"3,761.00","3,781.00","3,740.00","3,749.10","3,740.30","3,754.30","3,759.25","3,781.00","2,425.00",1984901,"7,46,17,45,051.30",122975
11-Nov-2025,EQ,"3,699.90","3,759.00","3,670.00","3,663.90","3,745.10","3,749.10","3,718.02","3,759.00","2,425.00",3044040,"11,31,78,14,134.90",151361
10-Nov-2025,EQ,"3,690.20","3,715.80","3,645.10","3,690.20","3,666.00","3,663.90","3,670.99","3,723.80","2,425.00",1620889,"5,95,02,69,334.70",108575
07-Nov-2025,EQ,"3,615.60","3,718.00","3,566.80","3,618.50","3,685.00","3,690.20","3,657.39","3,723.80","2,425.00",2595934,"9,49,43,49,340.40",114599
06-Nov-2025,EQ,"3,625.00","3,674.70","3,586.30","3,581.20","3,615.10","3,618.50","3,632.90","3,723.80","2,425.00",4535984,"16,47,87,92,759.10",236481
04-Nov-2025,EQ,"3,548.60","3,632.80","3,537.20","3,548.90","3,584.30","3,581.20","3,579.83","3,723.80","2,425.00",3494428,"12,50,94,54,839.60",158797
03-Nov-2025,EQ,"3,511.00","3,590.00","3,511.00","3,487.20","3,553.20","3,548.90","3,553.25","3,723.80","2,425.00",1776510,"6,31,23,77,054.90",101811
31-Oct-2025,EQ,"3,516.10","3,526.70","3,483.70","3,502.10","3,490.60","3,487.20","3,497.71","3,723.80","2,425.00",1915577,"6,70,01,39,749.60",86391
30-Oct-2025,EQ,"3,540.00","3,550.00","3,496.00","3,534.70","3,503.00","3,502.10","3,509.41","3,723.80","2,425.00",2103351,"7,38,15,25,198.10",154066
29-Oct-2025,EQ,"3,580.00","3,583.50","3,522.10","3,579.10","3,539.50","3,534.70","3,539.66","3,723.80","2,425.00",2526473,"8,94,28,52,378.10",116799
28-Oct-2025,EQ,"3,605.00","3,624.90","3,562.00","3,611.60","3,581.00","3,579.10","3,591.79","3,723.80","2,425.00",2851093,"10,24,05,38,836.50",134052
27-Oct-2025,EQ,"3,626.80","3,635.30","3,593.00","3,625.00","3,616.00","3,611.60","3,612.50","3,723.80","2,425.00",1440893,"5,20,52,19,258.20",115594
24-Oct-2025,EQ,"3,630.00","3,655.30","3,615.10","3,623.60","3,618.20","3,625.00","3,633.70","3,723.80","2,425.00",1654500,"6,01,19,48,836.10",86815
23-Oct-2025,EQ,"3,632.10","3,650.00","3,600.00","3,621.20","3,627.50","3,623.60","3,627.70","3,723.80","2,425.00",3724956,"13,51,30,26,368.10",175986
21-Oct-2025,EQ,"3,608.20","3,628.10","3,604.30","3,599.10","3,606.00","3,621.20","3,621.39","3,723.80","2,425.00",286950,"1,03,91,57,741.10",28419
20-Oct-2025,EQ,"3,674.00","3,676.00","3,593.00","3,647.20","3,596.70","3,599.10","3,630.88","3,723.80","2,425.00",2827250,"10,26,53,93,771.20",120487
17-Oct-2025,EQ,"3,561.00","3,656.00","3,560.10","3,560.80","3,656.00","3,647.20","3,629.84","3,723.80","2,425.00",3339579,"12,12,21,53,989.00",143948
16-Oct-2025,EQ,"3,503.00","3,573.20","3,498.30","3,497.20","3,563.90","3,560.80","3,552.62","3,723.80","2,425.00",2125552,"7,55,12,75,887.70",149417
15-Oct-2025,EQ,"3,461.00","3,500.00","3,460.00","3,459.80","3,494.40","3,497.20","3,490.86","3,723.80","2,425.00",1319445,"4,60,59,99,810.80",74577
14-Oct-2025,EQ,"3,469.90","3,487.10","3,428.00","3,459.70","3,453.00","3,459.80","3,453.14","3,723.80","2,425.00",1518505,"5,24,36,14,247.80",88544
13-Oct-2025,EQ,"3,432.00","3,470.00","3,432.00","3,454.90","3,457.00","3,459.70","3,456.02","3,723.80","2,425.00",1090517,"3,76,88,49,508.80",98582
10-Oct-2025,EQ,"3,425.00","3,473.90","3,395.70","3,442.90","3,454.00","3,454.90","3,444.15","3,723.80","2,425.00",1416272,"4,87,78,54,709.30",98132
09-Oct-2025,EQ,"3,450.00","3,475.00","3,424.00","3,426.50","3,436.00","3,442.90","3,441.65","3,723.80","2,425.00",1997853,"6,87,59,19,859.40",99935
08-Oct-2025,EQ,"3,500.00","3,509.70","3,422.60","3,492.80","3,425.00","3,426.50","3,447.19","3,723.80","2,425.00",1444911,"4,98,08,86,190.20",96223
07-Oct-2025,EQ,"3,468.10","3,521.40","3,465.10","3,472.00","3,497.00","3,492.80","3,491.83","3,723.80","2,425.00",1508939,"5,26,89,52,345.40",88944
06-Oct-2025,EQ,"3,462.00","3,480.00","3,425.10","3,462.00","3,476.00","3,472.00","3,463.48","3,723.80","2,425.00",1156082,"4,00,40,68,116.50",71226
