DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2025,EQ,"1,274.20","1,294.30","1,270.40","1,274.10","1,287.00","1,288.00","1,286.62","2,515.00","1,084.70",738631,"95,03,36,580.50",46323
30-Dec-2025,EQ,"1,284.00","1,289.00","1,267.70","1,280.00","1,271.60","1,274.10","1,276.68","2,515.00","1,084.70",2043408,"2,60,87,74,987.60",66242
29-Dec-2025,EQ,"1,275.00","1,286.50","1,270.80","1,272.60","1,280.00","1,280.00","1,279.74","2,515.00","1,084.70",888206,"1,13,66,69,716.90",46136
26-Dec-2025,EQ,"1,264.00","1,277.00","1,251.40","1,259.70","1,270.00","1,272.60","1,269.42","2,515.00","1,084.70",1433973,"1,82,03,18,717.40",36397
24-Dec-2025,EQ,"1,251.10","1,264.10","1,247.90","1,256.50","1,259.70","1,259.70","1,260.75","2,515.00","1,084.70",598956,"75,51,32,079.60",27285
23-Dec-2025,EQ,"1,260.00","1,261.50","1,251.10","1,257.20","1,253.60","1,256.50","1,256.99","2,515.00","1,084.70",663261,"83,37,14,445.60",29578
22-Dec-2025,EQ,"1,246.00","1,259.90","1,240.00","1,244.40","1,256.00","1,257.20","1,253.10","2,515.00","1,084.70",880387,"1,10,32,13,460.40",37470
19-Dec-2025,EQ,"1,230.80","1,246.20","1,229.70","1,233.50","1,243.00","1,244.40","1,242.57","2,515.00","1,084.70",754446,"93,74,50,260.10",33711
18-Dec-2025,EQ,"1,234.70","1,243.90","1,227.50","1,234.60","1,230.80","1,233.50","1,237.02","2,515.00","1,084.70",707432,"87,51,08,702.90",34228
17-Dec-2025,EQ,"1,237.00","1,241.40","1,224.30","1,240.60","1,232.00","1,234.60","1,233.18","2,515.00","1,084.70",526222,"64,89,25,563.20",35136
16-Dec-2025,EQ,"1,236.50","1,264.00","1,234.40","1,243.50","1,241.50","1,240.60","1,247.53","2,515.00","1,084.70",1086329,"1,35,52,32,971.40",58626
15-Dec-2025,EQ,"1,238.00","1,248.00","1,225.50","1,238.30","1,240.10","1,243.50","1,240.46","2,515.00","1,084.70",857798,"1,06,40,62,370.80",45062
12-Dec-2025,EQ,"1,219.00","1,240.00","1,215.40","1,215.00","1,234.40","1,238.30","1,232.05","2,515.00","1,084.70",841766,"1,03,70,93,712.50",29433
11-Dec-2025,EQ,"1,209.40","1,220.40","1,205.80","1,209.30","1,217.00","1,215.00","1,215.59","2,515.00","1,084.70",339626,"41,28,45,427.40",22271
10-Dec-2025,EQ,"1,215.80","1,221.80","1,205.00","1,215.80","1,211.00","1,209.30","1,210.42","2,515.00","1,084.70",514862,"62,32,01,480.10",31191
09-Dec-2025,EQ,"1,214.90","1,221.50","1,207.30","1,214.80","1,216.00","1,215.80","1,215.44","2,515.00","1,084.70",810028,"98,45,43,386.90",36570
08-Dec-2025,EQ,"1,246.90","1,248.00","1,212.80","1,246.90","1,215.00","1,214.80","1,223.72","2,515.00","1,084.70",1534927,"1,87,83,28,301.00",58972
05-Dec-2025,EQ,"1,237.50","1,249.00","1,234.20","1,242.40","1,246.90","1,246.90","1,241.13","2,515.00","1,084.70",911699,"1,13,15,40,106.30",31774
04-Dec-2025,EQ,"1,241.90","1,245.00","1,233.20","1,241.90","1,241.00","1,242.40","1,240.07","2,515.00","1,084.70",664641,"82,42,02,160.80",48009
03-Dec-2025,EQ,"1,257.00","1,258.00","1,236.10","1,258.90","1,241.20","1,241.90","1,242.85","2,515.00","1,084.70",642993,"79,91,44,733.20",32451
02-Dec-2025,EQ,"1,251.00","1,261.80","1,251.00","1,260.60","1,258.10","1,258.90","1,258.23","2,515.00","1,084.70",911551,"1,14,69,39,628.50",40748
01-Dec-2025,EQ,"1,260.60","1,264.00","1,251.60","1,261.10","1,257.00","1,260.60","1,257.77","2,515.00","1,084.70",644563,"81,07,10,166.20",39603
28-Nov-2025,EQ,"1,266.30","1,269.70","1,258.20","1,266.40","1,262.00","1,261.10","1,262.48","2,515.00","1,084.70",626947,"79,15,07,446.50",32455
27-Nov-2025,EQ,"1,276.00","1,279.50","1,260.50","1,276.80","1,268.00","1,266.40","1,268.04","2,515.00","1,084.70",708607,"89,85,38,722.10",41091
26-Nov-2025,EQ,"1,257.10","1,282.70","1,257.10","1,263.20","1,274.50","1,276.80","1,277.01","2,515.00","1,084.70",810809,"1,03,54,07,230.30",37566
25-Nov-2025,EQ,"1,267.40","1,270.90","1,250.80","1,269.20","1,263.00","1,263.20","1,263.23","2,515.00","1,084.70",1065974,"1,34,65,75,305.50",41695
