DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2020,EQ,"98.10","100.25","98.00","99.10","99.45","99.35","98.82","125.00","73.20",50363279,"4,97,68,97,705.35",98677
30-Dec-2020,EQ,"99.00","99.65","98.20","98.60","99.05","99.10","99.04","125.00","73.20",30281285,"2,99,90,53,572.45",78676
29-Dec-2020,EQ,"100.50","101.05","97.95","100.45","99.00","98.60","99.06","125.00","73.20",23647197,"2,34,24,00,775.85",89157
28-Dec-2020,EQ,"100.85","101.55","100.00","99.95","100.60","100.45","100.51","125.00","73.20",15454893,"1,55,34,11,120.70",40782
24-Dec-2020,EQ,"99.30","101.50","99.00","98.55","100.00","99.95","100.07","125.00","73.20",23052394,"2,30,67,71,700.90",59423
23-Dec-2020,EQ,"99.05","99.40","97.80","98.90","98.75","98.55","98.51","125.00","73.20",17602151,"1,73,40,30,086.55",60132
22-Dec-2020,EQ,"97.35","99.80","96.50","97.50","98.95","98.90","97.87","125.00","73.20",29181188,"2,85,58,45,568.35",85080
21-Dec-2020,EQ,"103.70","103.95","94.75","103.75","97.00","97.50","99.27","125.00","73.20",34210970,"3,39,61,16,822.85",90105
18-Dec-2020,EQ,"104.55","104.80","102.85","104.45","103.60","103.75","103.66","125.00","73.20",33596568,"3,48,26,16,650.65",67385
17-Dec-2020,EQ,"105.65","105.65","104.00","104.90","104.50","104.45","104.84","125.00","73.20",16840984,"1,76,56,61,942.25",47425
16-Dec-2020,EQ,"106.95","107.25","104.55","105.85","105.15","104.90","105.74","125.00","73.20",25184934,"2,66,31,32,139.10",64219
15-Dec-2020,EQ,"105.10","106.40","102.85","104.60","105.85","105.85","104.91","125.00","73.20",52215593,"5,47,78,94,240.00",108444
14-Dec-2020,EQ,"103.45","105.35","103.00","102.40","104.70","104.60","104.32","125.00","73.20",45802433,"4,77,82,35,557.85",144823
11-Dec-2020,EQ,"97.90","102.90","97.65","97.15","102.15","102.40","100.92","125.00","73.20",63463638,"6,40,48,21,615.80",137210
10-Dec-2020,EQ,"98.40","99.35","96.50","98.30","97.45","97.15","97.41","125.00","73.20",25985382,"2,53,12,92,282.05",58016
09-Dec-2020,EQ,"99.25","99.90","97.90","98.20","98.40","98.30","98.76","125.00","73.20",24061383,"2,37,63,20,268.00",77368
08-Dec-2020,EQ,"100.55","100.85","97.80","99.75","98.05","98.20","99.02","125.00","73.20",30386160,"3,00,87,57,794.35",75536
07-Dec-2020,EQ,"99.00","101.15","98.70","98.55","99.65","99.75","99.96","125.00","73.20",27049393,"2,70,39,88,076.10",68685
04-Dec-2020,EQ,"99.20","99.80","97.50","98.55","98.70","98.55","98.72","125.00","73.20",34813873,"3,43,69,14,741.05",73651
03-Dec-2020,EQ,"95.85","99.15","95.30","94.80","98.80","98.55","97.55","125.00","73.20",43841111,"4,27,66,02,062.05",92951
02-Dec-2020,EQ,"94.65","95.20","93.80","93.75","94.85","94.80","94.43","125.00","73.20",27650080,"2,61,11,13,213.75",52240
01-Dec-2020,EQ,"94.70","96.20","93.45","94.70","94.00","93.75","94.54","125.00","73.20",35330973,"3,34,00,95,188.00",83317
27-Nov-2020,EQ,"95.75","97.05","91.80","94.10","93.15","94.70","94.92","125.00","73.20",216981706,"20,59,51,26,247.65",184332
26-Nov-2020,EQ,"93.95","94.80","93.40","93.95","94.50","94.10","93.91","125.00","73.20",30825401,"2,89,48,26,125.50",66869
25-Nov-2020,EQ,"94.45","94.90","92.85","94.15","93.80","93.95","93.88","125.00","73.20",32464332,"3,04,77,18,780.65",70138
24-Nov-2020,EQ,"94.25","94.80","93.75","93.65","94.35","94.15","94.24","125.00","73.20",35713773,"3,36,58,17,088.00",67287
23-Nov-2020,EQ,"92.90","94.40","92.00","91.80","93.55","93.65","93.64","125.00","73.20",54262598,"5,08,12,52,656.60",116551
20-Nov-2020,EQ,"90.25","92.10","89.90","89.80","91.85","91.80","91.52","125.00","73.20",47670803,"4,36,28,70,749.50",98643
19-Nov-2020,EQ,"88.40","91.90","88.00","88.30","89.80","89.80","90.32","125.00","73.20",55196018,"4,98,50,70,863.35",100702
18-Nov-2020,EQ,"88.70","89.55","88.10","88.70","88.35","88.30","88.83","125.00","73.20",37574681,"3,33,77,88,950.70",70142
17-Nov-2020,EQ,"91.75","92.40","88.25","90.90","88.60","88.70","89.70","125.00","73.20",55324429,"4,96,26,29,036.00",89503
14-Nov-2020,EQ,"90.55","92.40","90.30","91.45","91.90","90.90","90.94","125.00","73.20",12521960,"1,13,86,87,376.50",24319
13-Nov-2020,EQ,"90.00","92.35","89.20","90.80","91.55","91.45","90.42","125.00","73.20",24025139,"2,17,22,67,510.85",58203
