DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"2,909.35","2,934.40","2,879.05","2,910.55","2,900.00","2,904.25","2,903.05","3,415.00","2,488.10",247174,"71,75,57,467.80",28158
30-Dec-2024,EQ,"2,919.95","2,947.00","2,866.10","2,914.40","2,921.25","2,910.55","2,903.19","3,415.00","2,488.10",1312344,"3,80,99,88,402.50",51848
27-Dec-2024,EQ,"2,935.05","2,958.00","2,909.35","2,932.45","2,918.00","2,914.40","2,923.40","3,415.00","2,488.10",239751,"70,08,88,441.95",22508
26-Dec-2024,EQ,"2,969.90","2,983.95","2,926.00","2,969.90","2,935.00","2,932.45","2,938.77","3,415.00","2,488.10",271693,"79,84,44,390.05",28819
24-Dec-2024,EQ,"2,960.00","2,989.60","2,956.05","2,951.80","2,972.00","2,969.90","2,971.53","3,415.00","2,488.10",319632,"94,97,95,368.75",21540
23-Dec-2024,EQ,"3,000.00","3,003.85","2,944.00","2,976.80","2,965.00","2,951.80","2,968.78","3,415.00","2,488.10",379460,"1,12,65,31,367.85",22222
20-Dec-2024,EQ,"2,989.90","3,018.90","2,965.95","2,989.00","2,983.00","2,976.80","2,989.84","3,415.00","2,488.10",298958,"89,38,36,322.50",28204
19-Dec-2024,EQ,"3,038.05","3,038.05","2,982.35","3,057.65","2,987.95","2,989.00","3,000.53","3,415.00","2,488.10",245605,"73,69,44,372.15",27640
18-Dec-2024,EQ,"3,082.00","3,098.25","3,051.00","3,081.35","3,053.05","3,057.65","3,066.23","3,415.00","2,488.10",196366,"60,21,03,840.95",25711
17-Dec-2024,EQ,"3,190.55","3,190.55","3,072.95","3,193.85","3,080.00","3,081.35","3,107.94","3,415.00","2,488.10",451024,"1,40,17,54,770.10",44770
16-Dec-2024,EQ,"3,200.00","3,214.35","3,177.00","3,185.20","3,190.00","3,193.85","3,195.50","3,415.00","2,488.10",169481,"54,15,76,050.30",24543
13-Dec-2024,EQ,"3,183.80","3,199.95","3,135.05","3,190.10","3,184.00","3,185.20","3,168.20","3,415.00","2,488.10",196042,"62,11,01,075.10",22128
12-Dec-2024,EQ,"3,192.60","3,215.00","3,161.55","3,191.20","3,190.00","3,190.10","3,186.38","3,415.00","2,488.10",153953,"49,05,52,099.70",15389
11-Dec-2024,EQ,"3,234.85","3,234.85","3,177.00","3,213.15","3,205.05","3,191.20","3,201.77","3,415.00","2,488.10",190962,"61,14,16,438.60",18900
10-Dec-2024,EQ,"3,151.00","3,219.00","3,150.10","3,160.75","3,211.40","3,213.15","3,203.53","3,415.00","2,488.10",293172,"93,91,84,356.80",30021
09-Dec-2024,EQ,"3,153.00","3,168.65","3,120.00","3,162.25","3,160.00","3,160.75","3,152.76","3,415.00","2,488.10",231040,"72,84,13,822.70",22796
