DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2020,EQ,"190.50","191.00","188.05","190.20","188.50","189.85","189.67","211.00","122.15",13090566,"2,48,29,47,303.90",54967
30-Dec-2020,EQ,"190.00","190.65","186.80","189.70","190.00","190.20","188.75","211.00","122.15",10762081,"2,03,13,67,203.55",31062
29-Dec-2020,EQ,"191.60","192.65","189.00","191.55","189.50","189.70","190.01","211.00","122.15",4809185,"91,37,82,167.05",56720
28-Dec-2020,EQ,"190.20","192.30","190.00","190.00","191.00","191.55","191.16","211.00","122.15",3869826,"73,97,37,644.85",31715
24-Dec-2020,EQ,"190.25","192.25","189.45","189.95","190.00","190.00","190.18","211.00","122.15",7281646,"1,38,48,22,104.10",25895
23-Dec-2020,EQ,"191.50","191.70","189.00","190.30","190.10","189.95","190.02","211.00","122.15",5532804,"1,05,13,70,796.10",37830
22-Dec-2020,EQ,"185.45","191.05","185.00","185.50","190.45","190.30","188.55","211.00","122.15",13463164,"2,53,85,24,697.30",66482
21-Dec-2020,EQ,"193.00","193.20","184.45","193.90","185.50","185.50","188.44","211.00","122.15",12155249,"2,29,04,80,614.75",59310
18-Dec-2020,EQ,"193.30","194.80","192.05","193.30","193.50","193.90","193.63","211.00","122.15",11424589,"2,21,21,76,624.55",59417
17-Dec-2020,EQ,"193.30","195.40","191.60","196.20","193.40","193.30","193.50","211.00","122.15",12970537,"2,50,97,73,833.75",69444
16-Dec-2020,EQ,"194.70","196.85","192.55","192.80","196.30","196.20","195.34","211.00","122.15",19701552,"3,84,84,70,539.55",61478
15-Dec-2020,EQ,"194.40","194.70","191.35","194.30","193.00","192.80","192.45","211.00","122.15",9047299,"1,74,11,67,705.70",50849
14-Dec-2020,EQ,"196.00","197.00","192.80","193.10","194.60","194.30","194.25","211.00","122.15",11428254,"2,21,98,99,224.35",69004
11-Dec-2020,EQ,"194.00","195.25","192.15","192.75","193.25","193.10","193.64","211.00","122.15",8367957,"1,62,03,43,937.90",57617
10-Dec-2020,EQ,"193.00","195.40","191.50","192.70","192.45","192.75","193.07","211.00","122.15",7657247,"1,47,83,97,709.65",63014
09-Dec-2020,EQ,"192.90","194.75","191.10","191.60","192.95","192.70","193.20","211.00","122.15",10519578,"2,03,23,74,999.25",66232
08-Dec-2020,EQ,"194.00","194.60","191.10","193.50","191.85","191.60","192.73","211.00","122.15",8941707,"1,72,33,69,532.55",76586
07-Dec-2020,EQ,"193.00","197.25","192.50","194.35","193.65","193.50","194.68","211.00","122.15",12418943,"2,41,76,70,827.60",72575
04-Dec-2020,EQ,"194.20","196.95","192.75","193.45","194.35","194.35","194.83","211.00","122.15",8346748,"1,62,62,14,879.50",57814
03-Dec-2020,EQ,"195.00","195.10","191.00","194.15","193.50","193.45","192.88","211.00","122.15",11986044,"2,31,18,20,704.40",66520
02-Dec-2020,EQ,"192.85","195.20","189.55","192.35","194.50","194.15","192.46","211.00","122.15",8908164,"1,71,44,28,234.35",48506
01-Dec-2020,EQ,"194.85","196.45","191.65","192.40","192.90","192.35","193.76","211.00","122.15",10234084,"1,98,29,64,952.00",69839
27-Nov-2020,EQ,"197.65","197.65","188.70","197.65","191.25","192.40","193.19","211.00","122.15",26321546,"5,08,51,16,508.30",97010
26-Nov-2020,EQ,"195.15","199.15","192.85","195.30","197.30","197.65","195.16","211.00","122.15",13994752,"2,73,11,99,846.10",51166
25-Nov-2020,EQ,"194.50","197.45","193.55","194.50","194.60","195.30","195.86","211.00","122.15",11168324,"2,18,74,05,100.55",52170
24-Nov-2020,EQ,"195.00","197.70","193.25","194.75","195.10","194.50","194.79","211.00","122.15",8611074,"1,67,73,20,028.10",56550
23-Nov-2020,EQ,"192.00","195.90","190.50","191.85","194.75","194.75","194.60","211.00","122.15",11761473,"2,28,87,95,419.25",47659
20-Nov-2020,EQ,"193.50","194.00","189.10","189.80","191.50","191.85","190.60","211.00","122.15",15457467,"2,94,62,32,633.05",77477
19-Nov-2020,EQ,"178.50","197.20","178.40","185.40","190.20","189.80","190.73","211.00","122.15",36468221,"6,95,57,07,011.30",156071
18-Nov-2020,EQ,"186.80","189.70","184.75","186.80","184.95","185.40","187.12","211.00","122.15",9385741,"1,75,62,23,084.65",39251
17-Nov-2020,EQ,"187.00","189.25","185.85","188.00","187.00","186.80","187.33","211.00","122.15",9490792,"1,77,79,32,352.60",48874
14-Nov-2020,EQ,"189.00","189.90","187.00","188.85","188.15","188.00","188.22","211.00","122.15",654019,"12,31,02,254.25",4925
13-Nov-2020,EQ,"188.60","189.95","186.20","189.50","188.80","188.85","188.78","211.00","122.15",6732350,"1,27,09,42,650.95",24394
12-Nov-2020,EQ,"190.50","190.95","187.15","189.65","189.35","189.50","189.43","211.00","122.15",14669832,"2,77,89,10,357.05",60379
11-Nov-2020,EQ,"183.90","191.00","183.90","185.90","189.90","189.65","186.98","211.00","122.15",8720078,"1,63,04,66,529.25",58802
10-Nov-2020,EQ,"183.30","186.85","181.55","184.05","186.00","185.90","183.64","211.00","122.15",7771387,"1,42,71,26,461.55",50621
09-Nov-2020,EQ,"179.90","184.70","179.10","178.45","183.20","184.05","181.95","211.00","122.15",8566270,"1,55,86,15,115.30",65284
06-Nov-2020,EQ,"178.25","179.45","177.10","179.05","178.55","178.45","178.24","211.00","122.15",4958925,"88,38,77,773.70",28812
05-Nov-2020,EQ,"178.00","179.80","176.60","177.10","178.70","179.05","178.11","211.00","122.15",5764503,"1,02,66,92,622.95",39597
04-Nov-2020,EQ,"179.95","180.00","174.65","179.95","176.90","177.10","176.80","211.00","122.15",10947058,"1,93,54,67,800.00",39791
03-Nov-2020,EQ,"174.00","180.70","173.85","173.05","180.00","179.95","178.31","211.00","122.15",15435950,"2,75,23,25,842.50",82171
02-Nov-2020,EQ,"172.55","174.40","171.95","171.00","173.85","173.05","173.06","211.00","122.15",7550775,"1,30,67,08,247.65",49344
30-Oct-2020,EQ,"170.50","172.00","169.30","171.60","171.95","171.00","170.28","211.00","122.15",12884035,"2,19,38,35,334.40",54293
29-Oct-2020,EQ,"171.05","173.30","170.25","172.85","171.20","171.60","171.85","211.00","122.15",9930549,"1,70,66,14,441.90",69226
28-Oct-2020,EQ,"174.55","174.55","171.55","173.50","172.50","172.85","172.63","211.00","122.15",7909018,"1,36,53,56,011.45",56847
27-Oct-2020,EQ,"172.05","175.35","171.50","172.05","174.25","173.50","173.37","211.00","122.15",13280939,"2,30,25,39,086.00",92746
26-Oct-2020,EQ,"170.05","172.95","169.65","170.15","172.00","172.05","171.82","211.00","122.15",20677888,"3,55,28,70,118.95",97952
23-Oct-2020,EQ,"165.10","171.40","164.70","165.10","169.90","170.15","169.06","211.00","122.15",16396341,"2,77,20,41,828.20",76070
22-Oct-2020,EQ,"162.15","165.90","161.20","163.75","164.40","165.10","163.92","211.00","122.15",21969260,"3,60,11,56,622.55",67478
21-Oct-2020,EQ,"157.60","166.15","157.25","157.20","164.30","163.75","162.72","211.00","122.15",20572526,"3,34,75,24,445.20",89498
20-Oct-2020,EQ,"160.00","160.40","156.90","159.75","157.30","157.20","158.79","211.00","122.15",7707353,"1,22,38,15,123.60",73220
