DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"1,542.00","1,543.70","1,508.05","1,544.20","1,516.00","1,514.05","1,525.14","1,617.55","1,081.10",10150467,"15,48,09,24,273.60",220938
30-Dec-2019,EQ,"1,545.95","1,547.65","1,528.05","1,542.35","1,546.25","1,544.20","1,538.15","1,617.55","1,081.10",7828402,"12,04,12,87,378.85",141979
27-Dec-2019,EQ,"1,527.00","1,546.20","1,521.30","1,515.40","1,542.00","1,542.35","1,533.58","1,617.55","1,065.65",8081591,"12,39,37,81,504.50",160454
26-Dec-2019,EQ,"1,541.65","1,552.95","1,510.15","1,546.45","1,515.80","1,515.40","1,527.47","1,617.55","1,065.65",13605737,"20,78,23,49,005.20",208335
24-Dec-2019,EQ,"1,568.90","1,572.05","1,542.50","1,571.40","1,544.50","1,546.45","1,555.42","1,617.55","1,065.65",8251144,"12,83,39,55,162.85",194127
23-Dec-2019,EQ,"1,560.10","1,577.55","1,557.80","1,599.10","1,570.95","1,571.40","1,567.33","1,617.55","1,065.65",11478429,"17,99,04,93,039.75",259306
20-Dec-2019,EQ,"1,615.00","1,617.55","1,596.10","1,609.95","1,600.00","1,599.10","1,604.60","1,617.55","1,065.65",9724619,"15,60,41,31,778.50",164538
19-Dec-2019,EQ,"1,573.70","1,614.90","1,571.80","1,575.85","1,613.00","1,609.95","1,595.68","1,614.90","1,065.65",9375484,"14,96,02,69,698.60",194045
18-Dec-2019,EQ,"1,563.00","1,580.00","1,562.00","1,562.70","1,577.15","1,575.85","1,569.63","1,614.45","1,065.65",6739582,"10,57,86,62,434.20",220134
17-Dec-2019,EQ,"1,566.75","1,579.00","1,555.55","1,566.60","1,567.00","1,562.70","1,564.71","1,614.45","1,065.65",9291724,"14,53,88,34,627.90",188391
16-Dec-2019,EQ,"1,592.00","1,593.90","1,564.35","1,582.90","1,571.00","1,566.60","1,575.62","1,614.45","1,065.65",5436951,"8,56,65,68,694.20",143743
13-Dec-2019,EQ,"1,580.00","1,590.00","1,572.40","1,568.20","1,584.05","1,582.90","1,580.61","1,614.45","1,055.00",5791522,"9,15,41,60,089.40",138857
12-Dec-2019,EQ,"1,570.25","1,573.85","1,556.65","1,562.40","1,571.10","1,568.20","1,564.76","1,614.45","1,055.00",4720977,"7,38,72,06,059.95",134048
11-Dec-2019,EQ,"1,555.60","1,574.50","1,550.60","1,561.95","1,561.00","1,562.40","1,560.15","1,614.45","1,055.00",5652698,"8,81,90,46,877.75",159685
10-Dec-2019,EQ,"1,572.05","1,573.60","1,554.15","1,572.60","1,564.90","1,561.95","1,561.68","1,614.45","1,055.00",4650906,"7,26,32,49,188.05",135279
09-Dec-2019,EQ,"1,556.15","1,577.40","1,546.50","1,554.90","1,572.95","1,572.60","1,565.26","1,614.45","1,055.00",5779807,"9,04,69,24,671.40",142669
06-Dec-2019,EQ,"1,553.00","1,568.00","1,541.10","1,550.85","1,554.50","1,554.90","1,555.30","1,614.45","1,055.00",5982129,"9,30,40,04,869.50",127437
05-Dec-2019,EQ,"1,574.00","1,579.75","1,544.00","1,552.70","1,551.00","1,550.85","1,561.41","1,614.45","1,055.00",9117022,"14,23,54,46,632.55",217414
04-Dec-2019,EQ,"1,573.00","1,577.50","1,533.75","1,578.90","1,554.50","1,552.70","1,551.77","1,614.45","1,055.00",9594828,"14,88,89,58,079.40",246981
03-Dec-2019,EQ,"1,592.75","1,594.00","1,572.60","1,586.50","1,582.00","1,578.90","1,580.07","1,614.45","1,055.00",5938786,"9,38,36,87,343.45",132025
02-Dec-2019,EQ,"1,600.00","1,614.45","1,577.00","1,551.15","1,586.90","1,586.50","1,592.74","1,614.45","1,055.00",14275186,"22,73,66,71,350.65",273497
29-Nov-2019,EQ,"1,581.95","1,581.95","1,547.85","1,580.30","1,553.00","1,551.15","1,558.76","1,584.15","1,055.00",8484822,"13,22,58,31,193.95",237128
28-Nov-2019,EQ,"1,572.65","1,584.15","1,563.95","1,569.85","1,582.00","1,580.30","1,576.23","1,584.15","1,055.00",6284885,"9,90,64,07,921.85",163816
27-Nov-2019,EQ,"1,559.95","1,575.50","1,556.10","1,560.25","1,575.10","1,569.85","1,564.27","1,576.35","1,055.00",4408336,"6,89,58,29,807.95",107469
26-Nov-2019,EQ,"1,568.10","1,576.35","1,556.00","1,561.55","1,561.20","1,560.25","1,563.16","1,576.35","1,055.00",16152137,"25,24,83,83,481.15",218748
25-Nov-2019,EQ,"1,551.15","1,564.80","1,551.00","1,546.50","1,562.00","1,561.55","1,559.10","1,572.40","1,055.00",6924313,"10,79,56,66,734.40",119670
22-Nov-2019,EQ,"1,542.10","1,569.50","1,537.60","1,537.60","1,548.05","1,546.50","1,551.32","1,572.40","1,055.00",10218978,"15,85,29,47,451.80",200632
21-Nov-2019,EQ,"1,545.00","1,556.00","1,528.55","1,547.65","1,540.50","1,537.60","1,538.44","1,572.40","1,055.00",6810577,"10,47,76,84,602.20",160090
20-Nov-2019,EQ,"1,555.05","1,572.40","1,543.20","1,509.75","1,548.50","1,547.65","1,559.65","1,572.40","1,055.00",19904164,"31,04,35,34,027.20",376334
19-Nov-2019,EQ,"1,467.00","1,514.90","1,465.00","1,459.20","1,511.55","1,509.75","1,496.45","1,514.90","1,055.00",13795569,"20,64,43,25,394.65",285115
18-Nov-2019,EQ,"1,472.65","1,486.00","1,455.40","1,470.85","1,460.05","1,459.20","1,468.40","1,489.65","1,055.00",6435097,"9,44,92,87,322.40",128242
