DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"976.00","980.00","958.15","976.35","961.10","961.60","969.08","1,030.00","515.55",403539,"39,10,60,922.50",26963
30-Dec-2019,EQ,"988.90","991.45","972.80","988.65","975.80","976.35","977.80","1,030.00","515.55",390678,"38,20,06,669.45",26321
27-Dec-2019,EQ,"988.00","991.50","977.55","991.00","988.10","988.65","983.66","1,030.00","515.55",438117,"43,09,56,857.30",26039
26-Dec-2019,EQ,"998.25","999.70","988.10","994.75","990.55","991.00","993.74","1,030.00","515.55",335933,"33,38,31,615.15",22160
24-Dec-2019,EQ,"998.00","999.90","985.00","996.80","999.20","994.75","990.81","1,030.00","515.55",716972,"71,03,82,706.60",27208
23-Dec-2019,EQ,"1,002.00","1,011.70","987.55","992.75","997.00","996.80","1,002.11","1,030.00","515.55",1347986,"1,35,08,34,898.15",36322
20-Dec-2019,EQ,"972.00","1,008.05","972.00","969.75","1,005.60","992.75","991.77","1,030.00","515.55",10219499,"10,13,53,60,537.55",77641
19-Dec-2019,EQ,"968.60","975.05","965.45","964.75","968.05","969.75","969.84","1,030.00","515.55",906299,"87,89,69,164.35",37800
18-Dec-2019,EQ,"975.00","976.60","959.00","972.55","965.00","964.75","964.86","1,030.00","515.55",628845,"60,67,47,907.35",29735
17-Dec-2019,EQ,"975.00","978.45","968.00","969.55","970.50","972.55","972.58","1,030.00","515.55",822269,"79,97,22,247.90",59389
16-Dec-2019,EQ,"973.80","979.80","963.90","974.90","968.90","969.55","970.76","1,030.00","515.55",526157,"51,07,73,228.90",47038
13-Dec-2019,EQ,"964.90","982.70","963.25","960.40","974.90","974.90","976.43","1,030.00","515.55",1119572,"1,09,31,88,987.55",50600
12-Dec-2019,EQ,"971.00","971.00","955.65","966.55","959.25","960.40","960.91","1,030.00","515.55",862822,"82,90,94,033.65",53713
11-Dec-2019,EQ,"950.00","971.95","924.50","949.85","968.00","966.55","951.56","1,030.00","515.55",1616587,"1,53,82,73,195.50",86753
10-Dec-2019,EQ,"950.00","968.00","947.00","942.00","949.10","949.85","955.71","1,030.00","515.55",1610114,"1,53,87,96,948.25",70175
09-Dec-2019,EQ,"964.80","964.80","938.40","964.20","944.40","942.00","950.69","1,030.00","515.55",861577,"81,90,90,829.50",44024
06-Dec-2019,EQ,"971.00","974.00","945.20","966.40","963.00","964.20","958.54","1,030.00","515.55",1235405,"1,18,41,81,657.10",67858
05-Dec-2019,EQ,"969.00","974.50","955.00","972.25","969.95","966.40","964.88","1,030.00","515.55",814043,"78,54,55,737.35",35649
04-Dec-2019,EQ,"962.80","975.00","960.05","963.40","969.70","972.25","970.37","1,030.00","515.55",1122303,"1,08,90,43,701.10",43432
