DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"786.95","799.20","786.00","788.30","796.00","794.95","794.69","912.00","600.65",9086044,"7,22,06,00,207.70",162712
30-Dec-2024,EQ,"802.00","807.95","785.00","799.65","793.30","788.30","793.36","912.00","600.65",21515438,"17,06,95,91,751.15",317867
27-Dec-2024,EQ,"816.30","818.30","797.20","812.45","800.85","799.65","806.26","912.00","600.65",10649800,"8,58,65,60,656.85",179691
26-Dec-2024,EQ,"813.00","822.85","808.00","812.05","814.00","812.45","813.70","912.00","600.65",8318714,"6,76,89,03,488.30",145477
24-Dec-2024,EQ,"824.25","826.20","809.20","821.15","813.00","812.05","814.35","912.00","600.65",10602771,"8,63,43,65,124.30",155822
23-Dec-2024,EQ,"817.30","824.00","812.20","812.00","820.50","821.15","820.11","912.00","600.65",4933200,"4,04,57,77,516.70",127438
20-Dec-2024,EQ,"834.90","836.00","810.00","832.80","814.00","812.00","819.20","912.00","600.65",10244198,"8,39,20,39,433.55",183839
19-Dec-2024,EQ,"824.60","838.00","820.20","838.15","832.25","832.80","829.17","912.00","600.65",9453398,"7,83,84,54,819.80",192047
18-Dec-2024,EQ,"851.00","852.00","837.00","850.55","840.80","838.15","840.95","912.00","600.65",8295338,"6,97,59,24,558.00",186668
17-Dec-2024,EQ,"858.55","862.60","847.05","860.95","849.80","850.55","852.67","912.00","600.65",8791216,"7,49,60,29,790.20",193366
16-Dec-2024,EQ,"859.80","866.40","857.80","861.55","860.65","860.95","861.45","912.00","600.65",6432713,"5,54,14,82,948.45",151330
13-Dec-2024,EQ,"852.60","862.90","835.00","853.70","861.90","861.55","851.16","912.00","600.65",9379370,"7,98,33,45,804.15",228551
12-Dec-2024,EQ,"861.50","864.30","851.15","861.60","853.40","853.70","854.33","912.00","600.65",8845103,"7,55,66,72,637.10",168059
11-Dec-2024,EQ,"867.50","869.85","860.95","867.50","861.80","861.60","864.62","912.00","600.65",7006973,"6,05,83,37,344.15",167495
10-Dec-2024,EQ,"861.80","868.95","858.05","858.05","868.30","867.50","863.66","912.00","600.65",7379849,"6,37,37,14,111.45",158185
09-Dec-2024,EQ,"859.00","866.85","856.95","863.65","858.20","858.05","861.15","912.00","600.65",9630346,"8,29,32,12,615.95",186481
06-Dec-2024,EQ,"865.25","875.45","857.00","865.45","862.95","863.65","866.72","912.00","584.55",14520568,"12,58,51,97,103.00",451441
05-Dec-2024,EQ,"860.00","871.45","855.60","859.70","864.25","865.45","864.78","912.00","584.55",14716036,"12,72,61,61,186.90",242317
04-Dec-2024,EQ,"853.95","864.00","850.30","853.95","858.55","859.70","858.15","912.00","584.55",10749716,"9,22,48,75,560.05",237875
03-Dec-2024,EQ,"838.00","856.60","836.90","836.40","853.50","853.95","851.99","912.00","584.55",12186182,"10,38,25,22,739.05",235478
02-Dec-2024,EQ,"838.95","842.00","832.70","838.95","837.05","836.40","836.12","912.00","584.55",6651119,"5,56,11,36,354.10",181197
29-Nov-2024,EQ,"841.10","844.05","831.55","838.85","838.70","838.95","838.26","912.00","561.10",10822949,"9,07,23,92,177.65",181367
28-Nov-2024,EQ,"834.10","845.80","830.50","834.10","840.55","838.85","838.80","912.00","561.10",13505677,"11,32,86,15,478.85",254541
27-Nov-2024,EQ,"838.50","842.50","832.10","839.40","834.85","834.10","836.67","912.00","561.10",8375108,"7,00,72,42,077.95",151032
26-Nov-2024,EQ,"844.00","846.70","835.55","844.45","838.30","839.40","840.11","912.00","561.10",8893744,"7,47,17,04,211.50",155469
25-Nov-2024,EQ,"827.00","849.60","825.65","816.05","845.45","844.45","843.72","912.00","561.10",23434605,"19,77,22,51,993.95",300921
22-Nov-2024,EQ,"786.00","819.95","784.05","780.75","814.55","816.05","807.63","912.00","555.15",20665405,"16,68,99,34,313.40",351754
21-Nov-2024,EQ,"798.50","798.50","761.55","803.00","780.90","780.75","774.76","912.00","555.15",29486577,"22,84,48,78,143.80",546871
19-Nov-2024,EQ,"819.00","820.30","800.10","814.30","802.40","803.00","809.12","912.00","555.15",13677029,"11,06,63,81,236.25",249377
18-Nov-2024,EQ,"811.00","816.70","799.25","804.25","814.15","814.30","809.14","912.00","555.15",9322451,"7,54,31,33,216.15",224651
14-Nov-2024,EQ,"808.65","818.00","801.05","808.65","805.95","804.25","807.42","912.00","555.15",9461484,"7,63,93,90,395.60",223899
13-Nov-2024,EQ,"823.35","831.75","804.65","826.70","812.30","808.65","816.00","912.00","555.15",13756706,"11,22,55,33,633.65",281743
12-Nov-2024,EQ,"852.50","853.40","824.30","847.65","826.05","826.70","835.44","912.00","555.15",11350729,"9,48,28,16,605.05",250017
11-Nov-2024,EQ,"846.00","854.00","842.00","843.15","845.95","847.65","848.56","912.00","555.15",12621337,"10,70,99,37,374.20",263092
