DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2025,EQ,"26,400.00","26,635.00","26,270.00","26,340.00","26,635.00","26,575.00","26,478.83","32,490.00","24,817.80",24906,"65,94,81,675.00",7598
30-Dec-2025,EQ,"26,275.00","26,405.00","26,090.00","26,275.00","26,400.00","26,340.00","26,284.37","32,490.00","24,817.80",137300,"3,60,88,44,000.00",37620
29-Dec-2025,EQ,"26,450.00","26,450.00","26,170.00","26,420.00","26,280.00","26,275.00","26,272.86","32,490.00","24,817.80",57381,"1,50,75,62,880.00",15120
26-Dec-2025,EQ,"26,140.00","26,490.00","26,070.00","26,145.00","26,465.00","26,420.00","26,392.24","32,490.00","24,817.80",46123,"1,21,72,89,305.00",12047
24-Dec-2025,EQ,"25,945.00","26,190.00","25,850.00","25,940.00","26,140.00","26,145.00","26,074.94","32,490.00","24,817.80",18508,"48,25,94,910.00",5980
23-Dec-2025,EQ,"25,710.00","26,150.00","25,600.00","25,710.00","25,925.00","25,940.00","25,971.76","32,490.00","24,817.80",46538,"1,20,86,73,805.00",13826
22-Dec-2025,EQ,"25,850.00","25,850.00","25,605.00","25,600.00","25,700.00","25,710.00","25,711.76","32,490.00","24,817.80",13917,"35,78,30,580.00",5585
19-Dec-2025,EQ,"25,490.00","25,715.00","25,360.00","25,645.00","25,600.00","25,600.00","25,535.35","32,490.00","24,817.80",47019,"1,20,06,46,825.00",12245
18-Dec-2025,EQ,"26,045.00","26,090.00","25,535.00","26,045.00","25,715.00","25,645.00","25,717.98","32,490.00","24,817.80",23636,"60,78,70,265.00",7345
17-Dec-2025,EQ,"25,990.00","26,185.00","25,900.00","25,990.00","26,050.00","26,045.00","26,045.25","32,490.00","24,817.80",64316,"1,67,51,26,245.00",6860
16-Dec-2025,EQ,"26,680.00","26,700.00","25,915.00","26,625.00","26,000.00","25,990.00","26,176.73","32,490.00","24,817.80",30430,"79,65,57,820.00",12733
15-Dec-2025,EQ,"26,285.00","26,720.00","26,025.00","26,285.00","26,575.00","26,625.00","26,398.96","32,490.00","24,817.80",66214,"1,74,79,80,840.00",6136
12-Dec-2025,EQ,"26,100.00","26,460.00","26,100.00","26,080.00","26,315.00","26,285.00","26,281.32","32,490.00","24,817.80",23933,"62,89,90,950.00",7711
11-Dec-2025,EQ,"25,745.00","26,350.00","25,740.00","25,885.00","26,075.00","26,080.00","26,152.45","32,490.00","24,817.80",46366,"1,21,25,84,420.00",8467
10-Dec-2025,EQ,"26,000.00","26,095.00","25,645.00","26,100.00","25,875.00","25,885.00","25,887.41","32,490.00","24,817.80",32453,"84,01,23,960.00",13026
09-Dec-2025,EQ,"26,135.00","26,350.00","25,750.00","26,135.00","26,000.00","26,100.00","26,088.34","32,490.00","24,817.80",117831,"3,07,40,15,310.00",17832
08-Dec-2025,EQ,"26,000.00","26,365.00","26,000.00","26,075.00","26,065.00","26,135.00","26,182.16","32,490.00","24,817.80",48562,"1,27,14,58,270.00",8863
05-Dec-2025,EQ,"26,450.00","26,455.00","26,015.00","26,450.00","26,100.00","26,075.00","26,299.58","32,490.00","24,817.80",30319,"79,73,77,065.00",6836
04-Dec-2025,EQ,"26,270.00","26,490.00","26,180.00","26,300.00","26,400.00","26,450.00","26,355.92","32,490.00","24,817.80",9275,"24,44,51,175.00",4447
03-Dec-2025,EQ,"26,645.00","26,685.00","26,115.00","26,545.00","26,235.00","26,300.00","26,303.43","32,490.00","24,817.80",36102,"94,96,06,455.00",10346
02-Dec-2025,EQ,"26,250.00","26,645.00","26,165.00","26,415.00","26,645.00","26,545.00","26,366.10","32,490.00","24,817.80",34844,"91,87,00,395.00",9979
01-Dec-2025,EQ,"26,550.00","26,565.00","26,320.00","26,400.00","26,320.00","26,415.00","26,415.53","32,490.00","24,817.80",16587,"43,81,54,450.00",4965
28-Nov-2025,EQ,"26,780.00","26,865.00","26,325.00","26,755.00","26,420.00","26,400.00","26,448.37","32,490.00","24,803.00",15137,"40,03,49,050.00",4364
27-Nov-2025,EQ,"26,935.00","26,945.00","26,615.00","26,935.00","26,780.00","26,755.00","26,714.32","32,490.00","24,803.00",25657,"68,54,09,315.00",6589
26-Nov-2025,EQ,"26,655.00","26,975.00","26,480.00","26,455.00","26,945.00","26,935.00","26,786.30","32,490.00","24,803.00",16119,"43,17,68,395.00",4278
25-Nov-2025,EQ,"26,490.00","26,505.00","26,360.00","26,490.00","26,505.00","26,455.00","26,455.47","32,490.00","24,803.00",35989,"95,21,05,815.00",9735
24-Nov-2025,EQ,"26,490.00","26,540.00","26,325.00","26,480.00","26,505.00","26,490.00","26,475.20","32,490.00","24,803.00",23404,"61,96,25,545.00",9066
21-Nov-2025,EQ,"26,505.00","26,750.00","26,420.00","26,480.00","26,500.00","26,480.00","26,582.91","32,490.00","23,821.10",15422,"40,99,61,690.00",6263
20-Nov-2025,EQ,"26,520.00","26,620.00","26,395.00","26,510.00","26,475.00","26,480.00","26,501.31","32,490.00","23,821.10",15461,"40,97,36,805.00",6687
19-Nov-2025,EQ,"26,495.00","26,630.00","26,405.00","26,420.00","26,550.00","26,510.00","26,503.89","32,490.00","23,821.10",12630,"33,47,44,090.00",5693
18-Nov-2025,EQ,"26,690.00","26,760.00","26,300.00","26,680.00","26,460.00","26,420.00","26,499.52","32,490.00","23,821.10",36817,"97,56,32,655.00",13504
17-Nov-2025,EQ,"26,820.00","26,820.00","26,610.00","26,700.00","26,660.00","26,680.00","26,691.38","32,490.00","23,821.10",20761,"55,41,39,840.00",9193
14-Nov-2025,EQ,"26,955.00","27,090.00","26,610.00","26,995.00","26,820.00","26,700.00","26,746.56","32,490.00","23,500.00",18167,"48,59,04,805.00",6880
13-Nov-2025,EQ,"27,200.00","27,275.00","26,950.00","27,095.00","27,060.00","26,995.00","27,110.63","32,490.00","23,500.00",14547,"39,43,78,395.00",6769
12-Nov-2025,EQ,"27,245.00","27,245.00","26,970.00","27,035.00","27,090.00","27,095.00","27,080.00","32,490.00","23,500.00",24395,"66,06,16,655.00",9916
11-Nov-2025,EQ,"27,250.00","27,250.00","26,915.00","27,090.00","27,025.00","27,035.00","27,043.18","32,490.00","23,500.00",19431,"52,54,76,085.00",9474
10-Nov-2025,EQ,"27,400.00","27,535.00","27,035.00","27,375.00","27,170.00","27,090.00","27,219.74","32,490.00","23,500.00",32166,"87,55,50,205.00",14303
07-Nov-2025,EQ,"27,400.00","27,760.00","27,210.00","27,450.00","27,400.00","27,375.00","27,505.98","32,490.00","23,500.00",23046,"63,39,02,795.00",8707
06-Nov-2025,EQ,"27,620.00","27,690.00","27,400.00","27,600.00","27,400.00","27,450.00","27,513.01","32,490.00","23,500.00",15109,"41,56,94,120.00",6157
04-Nov-2025,EQ,"28,095.00","28,095.00","27,540.00","27,975.00","27,700.00","27,600.00","27,708.78","32,490.00","23,500.00",12031,"33,33,64,390.00",4890
03-Nov-2025,EQ,"28,310.00","28,395.00","27,860.00","28,310.00","28,045.00","27,975.00","28,067.39","32,490.00","23,500.00",12006,"33,69,77,130.00",5842
31-Oct-2025,EQ,"28,730.00","28,740.00","28,260.00","28,740.00","28,330.00","28,310.00","28,480.73","32,490.00","23,500.00",24223,"68,98,88,830.00",9677
30-Oct-2025,EQ,"29,200.00","29,200.00","28,680.00","29,210.00","28,720.00","28,740.00","28,804.01","32,490.00","23,500.00",22402,"64,52,67,500.00",9285
29-Oct-2025,EQ,"28,585.00","29,425.00","28,450.00","28,585.00","29,005.00","29,210.00","29,040.01","32,490.00","23,500.00",79429,"2,30,66,19,250.00",28031
28-Oct-2025,EQ,"28,780.00","28,780.00","28,300.00","28,590.00","28,565.00","28,585.00","28,513.20","32,490.00","23,500.00",34211,"97,54,65,140.00",13299
27-Oct-2025,EQ,"28,845.00","28,930.00","28,520.00","28,705.00","28,635.00","28,590.00","28,685.02","32,490.00","23,500.00",36230,"1,03,92,58,280.00",15865
24-Oct-2025,EQ,"29,100.00","29,110.00","28,525.00","28,970.00","28,710.00","28,705.00","28,706.07","32,490.00","23,500.00",25030,"71,85,12,955.00",8293
23-Oct-2025,EQ,"29,025.00","29,350.00","28,850.00","28,950.00","28,970.00","28,970.00","29,032.86","32,490.00","23,500.00",48966,"1,42,16,23,080.00",16262
21-Oct-2025,EQ,"29,045.00","29,085.00","28,755.00","28,880.00","28,890.00","28,950.00","28,986.10","32,490.00","23,500.00",1726,"5,00,30,000.00",851
20-Oct-2025,EQ,"29,835.00","29,840.00","28,765.00","29,690.00","28,870.00","28,880.00","29,027.31","32,490.00","23,500.00",23281,"67,57,84,865.00",10061
17-Oct-2025,EQ,"29,975.00","30,040.00","29,550.00","30,010.00","29,650.00","29,690.00","29,790.79","32,490.00","23,500.00",16520,"49,21,43,865.00",9035
16-Oct-2025,EQ,"29,985.00","30,285.00","29,940.00","29,940.00","29,940.00","30,010.00","30,125.11","32,490.00","23,500.00",12514,"37,69,85,680.00",5962
15-Oct-2025,EQ,"29,625.00","30,100.00","29,535.00","29,615.00","29,885.00","29,940.00","29,879.53","32,490.00","23,500.00",15822,"47,27,53,995.00",8105
14-Oct-2025,EQ,"29,640.00","29,745.00","29,450.00","29,615.00","29,535.00","29,615.00","29,583.92","32,490.00","23,500.00",15385,"45,51,48,675.00",6459
13-Oct-2025,EQ,"29,425.00","29,670.00","29,270.00","29,445.00","29,640.00","29,615.00","29,471.13","32,490.00","23,500.00",13296,"39,18,48,185.00",6576
10-Oct-2025,EQ,"29,470.00","29,705.00","29,345.00","29,485.00","29,445.00","29,445.00","29,502.75","32,490.00","23,500.00",17432,"51,42,91,910.00",6787
09-Oct-2025,EQ,"29,350.00","29,720.00","29,295.00","29,285.00","29,480.00","29,485.00","29,555.80","32,490.00","23,500.00",22117,"65,36,85,640.00",7750
08-Oct-2025,EQ,"29,675.00","29,690.00","29,170.00","29,530.00","29,350.00","29,285.00","29,339.18","32,490.00","23,500.00",10980,"32,21,44,185.00",6186
07-Oct-2025,EQ,"29,370.00","29,750.00","29,355.00","29,295.00","29,555.00","29,530.00","29,537.33","32,490.00","23,500.00",13596,"40,15,89,550.00",5329
