DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Dec-2023,EQ,"1,262.10","1,271.95","1,252.55","1,262.15","1,260.05","1,259.45","1,259.28","1,271.95","922.45",1840160,"2,31,72,80,899.50",194745
28-Dec-2023,EQ,"1,254.95","1,264.65","1,249.55","1,252.45","1,262.80","1,262.15","1,258.81","1,267.95","922.45",2043365,"2,57,22,11,499.30",186763
27-Dec-2023,EQ,"1,250.00","1,255.40","1,241.25","1,247.50","1,253.00","1,252.45","1,249.16","1,267.95","922.45",2005268,"2,50,49,04,711.00",159880
26-Dec-2023,EQ,"1,243.65","1,250.00","1,239.30","1,243.65","1,243.10","1,247.50","1,247.08","1,267.95","922.45",1796483,"2,24,03,54,001.55",122724
22-Dec-2023,EQ,"1,240.00","1,251.00","1,236.05","1,233.50","1,243.00","1,243.65","1,243.73","1,267.95","922.45",2058127,"2,55,97,51,216.60",166199
21-Dec-2023,EQ,"1,224.10","1,237.95","1,208.55","1,232.15","1,237.85","1,233.50","1,225.51","1,267.95","922.45",1916222,"2,34,83,43,439.85",226584
20-Dec-2023,EQ,"1,255.00","1,255.00","1,228.45","1,244.95","1,232.80","1,232.15","1,237.83","1,267.95","922.45",1837031,"2,27,39,33,054.85",141121
19-Dec-2023,EQ,"1,264.80","1,267.95","1,236.50","1,252.75","1,247.75","1,244.95","1,246.62","1,267.95","922.45",2187458,"2,72,69,23,923.95",212591
18-Dec-2023,EQ,"1,235.75","1,267.90","1,234.00","1,235.75","1,253.85","1,252.75","1,257.73","1,267.90","922.45",2135393,"2,68,57,51,178.95",134360
15-Dec-2023,EQ,"1,241.00","1,246.50","1,233.00","1,231.30","1,239.00","1,235.75","1,238.91","1,258.00","922.45",3474624,"4,30,47,34,635.00",129450
14-Dec-2023,EQ,"1,239.00","1,239.90","1,224.25","1,233.10","1,234.00","1,231.30","1,231.71","1,258.00","922.45",2341190,"2,88,36,78,714.90",156357
13-Dec-2023,EQ,"1,218.30","1,239.60","1,212.65","1,218.00","1,232.15","1,233.10","1,222.73","1,258.00","922.45",2448178,"2,99,34,54,444.25",95968
12-Dec-2023,EQ,"1,249.00","1,250.00","1,212.65","1,241.40","1,217.05","1,218.00","1,225.99","1,258.00","922.45",2832873,"3,47,30,77,235.50",147237
11-Dec-2023,EQ,"1,236.00","1,246.35","1,215.10","1,235.80","1,235.30","1,241.40","1,235.60","1,258.00","922.45",1172972,"1,44,93,20,748.20",78685
08-Dec-2023,EQ,"1,236.05","1,247.60","1,230.65","1,239.30","1,234.90","1,235.80","1,238.84","1,258.00","922.45",1612113,"1,99,71,55,518.75",97907
07-Dec-2023,EQ,"1,231.00","1,241.90","1,228.90","1,240.35","1,240.00","1,239.30","1,235.10","1,258.00","922.45",1478355,"1,82,59,22,370.50",114813
06-Dec-2023,EQ,"1,248.55","1,258.00","1,233.30","1,239.55","1,240.70","1,240.35","1,245.17","1,258.00","922.45",1704590,"2,12,25,04,763.15",74807
05-Dec-2023,EQ,"1,225.90","1,243.60","1,220.55","1,231.15","1,242.00","1,239.55","1,234.34","1,243.60","922.45",930042,"1,14,79,85,496.80",73720
04-Dec-2023,EQ,"1,237.25","1,240.00","1,220.50","1,231.25","1,230.00","1,231.15","1,228.90","1,241.85","922.45",1615837,"1,98,56,99,926.35",104593
01-Dec-2023,EQ,"1,233.05","1,241.85","1,225.00","1,225.85","1,228.00","1,231.25","1,231.97","1,241.85","922.45",1749751,"2,15,56,45,442.15",82398
30-Nov-2023,EQ,"1,192.35","1,231.15","1,192.35","1,202.20","1,225.50","1,225.85","1,217.95","1,231.15","922.45",4672807,"5,69,12,24,751.25",118222
29-Nov-2023,EQ,"1,191.95","1,209.50","1,184.50","1,191.35","1,206.25","1,202.20","1,197.17","1,214.80","922.45",1813462,"2,17,10,26,110.35",98385
28-Nov-2023,EQ,"1,197.15","1,200.35","1,189.75","1,195.45","1,190.10","1,191.35","1,192.50","1,214.80","922.45",886708,"1,05,73,97,506.55",89363
24-Nov-2023,EQ,"1,200.00","1,209.60","1,192.80","1,198.80","1,194.05","1,195.45","1,198.78","1,214.80","922.45",1376695,"1,65,03,50,494.70",70298
23-Nov-2023,EQ,"1,203.55","1,209.90","1,194.75","1,204.10","1,199.15","1,198.80","1,200.82","1,214.80","922.45",1177434,"1,41,38,85,941.70",78017
22-Nov-2023,EQ,"1,205.00","1,214.80","1,199.00","1,201.40","1,203.45","1,204.10","1,206.95","1,214.80","922.45",1401782,"1,69,18,83,945.40",76384
21-Nov-2023,EQ,"1,189.00","1,205.00","1,186.25","1,188.00","1,203.40","1,201.40","1,198.46","1,205.00","922.45",999135,"1,19,74,19,902.80",66115
20-Nov-2023,EQ,"1,196.00","1,198.25","1,185.25","1,194.60","1,188.00","1,188.00","1,190.86","1,198.40","922.45",1054810,"1,25,61,26,068.35",55055
17-Nov-2023,EQ,"1,189.80","1,198.40","1,187.95","1,189.55","1,192.45","1,194.60","1,194.23","1,198.40","922.45",891965,"1,06,52,08,418.75",70313
16-Nov-2023,EQ,"1,182.00","1,194.90","1,179.60","1,180.90","1,191.00","1,189.55","1,189.46","1,194.90","922.45",2205723,"2,62,36,10,590.85",90190
15-Nov-2023,EQ,"1,179.50","1,184.40","1,171.00","1,177.80","1,182.50","1,180.90","1,177.50","1,187.55","922.45",2246320,"2,64,50,35,851.55",77134
13-Nov-2023,EQ,"1,180.10","1,187.55","1,173.75","1,180.60","1,178.10","1,177.80","1,180.36","1,187.55","922.45",816825,"96,41,48,694.85",52378
12-Nov-2023,EQ,"1,181.50","1,187.00","1,177.30","1,179.35","1,178.00","1,180.60","1,182.66","1,187.00","922.45",127953,"15,13,25,106.10",8332
10-Nov-2023,EQ,"1,174.05","1,181.50","1,170.10","1,176.20","1,181.45","1,179.35","1,178.24","1,183.25","922.45",957539,"1,12,82,08,335.65",69989
09-Nov-2023,EQ,"1,181.00","1,183.25","1,166.85","1,176.70","1,179.80","1,176.20","1,177.24","1,183.25","922.45",1849169,"2,17,69,19,817.80",88586
08-Nov-2023,EQ,"1,175.00","1,182.90","1,171.00","1,170.95","1,173.25","1,176.70","1,177.88","1,182.90","922.45",1702301,"2,00,51,08,412.95",70576
07-Nov-2023,EQ,"1,149.00","1,173.55","1,146.55","1,150.00","1,173.00","1,170.95","1,165.48","1,173.55","922.45",1811831,"2,11,16,59,196.70",104978
06-Nov-2023,EQ,"1,140.10","1,151.00","1,140.00","1,141.10","1,150.00","1,150.00","1,148.12","1,169.70","922.45",1428537,"1,64,01,34,834.10",87956
03-Nov-2023,EQ,"1,138.50","1,145.70","1,131.50","1,132.85","1,141.80","1,141.10","1,142.69","1,169.70","922.45",1741756,"1,99,02,81,064.85",95463
02-Nov-2023,EQ,"1,127.85","1,137.55","1,110.60","1,116.20","1,132.00","1,132.85","1,128.63","1,169.70","922.45",3454692,"3,89,90,66,103.85",181853
01-Nov-2023,EQ,"1,092.00","1,132.55","1,082.60","1,088.60","1,117.00","1,116.20","1,107.12","1,169.70","922.45",3973264,"4,39,88,66,706.90",163867
