DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2022,EQ,"1,022.75","1,027.65","1,015.00","1,013.20","1,015.40","1,016.40","1,021.38","1,838.00","943.70",1317151,"1,34,53,15,780.70",39715
29-Dec-2022,EQ,"1,010.00","1,015.70","1,007.00","1,016.25","1,014.45","1,013.20","1,011.96","1,838.00","943.70",1977329,"2,00,09,76,681.95",58409
28-Dec-2022,EQ,"1,005.30","1,019.40","1,002.20","1,009.55","1,015.00","1,016.25","1,013.43","1,838.00","943.70",1077963,"1,09,24,40,054.75",34484
27-Dec-2022,EQ,"1,009.70","1,012.60","993.20","1,001.00","1,010.00","1,009.55","1,004.39","1,838.00","943.70",1615647,"1,62,27,45,300.95",45887
26-Dec-2022,EQ,"1,000.35","1,006.50","993.00","995.75","1,000.00","1,001.00","1,002.09","1,838.00","943.70",966423,"96,84,43,860.70",41693
23-Dec-2022,EQ,"1,005.05","1,015.50","993.00","1,015.85","997.00","995.75","1,003.64","1,838.00","943.70",1504806,"1,51,02,88,193.50",80231
22-Dec-2022,EQ,"1,030.00","1,035.00","1,012.60","1,026.05","1,016.00","1,015.85","1,019.80","1,838.00","943.70",1925482,"1,96,36,11,835.30",59068
21-Dec-2022,EQ,"1,024.50","1,030.55","1,020.25","1,017.95","1,025.00","1,026.05","1,026.17","1,838.00","943.70",2037666,"2,09,09,95,180.60",98704
20-Dec-2022,EQ,"1,025.00","1,025.00","1,004.00","1,026.70","1,018.50","1,017.95","1,011.89","1,838.00","943.70",2149130,"2,17,46,85,477.10",78746
19-Dec-2022,EQ,"1,019.95","1,028.10","1,009.75","1,020.80","1,026.50","1,026.70","1,022.47","1,838.00","943.70",1529622,"1,56,39,94,262.00",52218
16-Dec-2022,EQ,"1,015.00","1,033.50","1,011.00","1,022.75","1,021.00","1,020.80","1,022.40","1,838.00","943.70",2994364,"3,06,14,46,398.20",96568
15-Dec-2022,EQ,"1,060.00","1,060.00","1,020.25","1,065.10","1,024.50","1,022.75","1,031.57","1,838.00","943.70",5184673,"5,34,83,73,334.85",182989
14-Dec-2022,EQ,"1,051.00","1,068.05","1,051.00","1,045.75","1,063.00","1,065.10","1,062.27","1,838.00","943.70",1983937,"2,10,74,76,013.10",84053
13-Dec-2022,EQ,"1,039.85","1,047.45","1,030.15","1,032.10","1,045.15","1,045.75","1,040.40","1,838.00","943.70",1983827,"2,06,39,70,767.15",55075
12-Dec-2022,EQ,"1,034.00","1,044.40","1,021.80","1,035.30","1,032.00","1,032.10","1,033.81","1,838.00","943.70",1689393,"1,74,65,03,081.45",56002
09-Dec-2022,EQ,"1,073.95","1,075.70","1,030.20","1,074.15","1,036.75","1,035.30","1,045.04","1,838.00","943.70",3138360,"3,27,97,18,805.00",111121
08-Dec-2022,EQ,"1,078.10","1,082.40","1,070.30","1,078.05","1,074.00","1,074.15","1,075.10","1,838.00","943.70",1110431,"1,19,38,24,201.10",44762
07-Dec-2022,EQ,"1,086.00","1,087.30","1,074.20","1,088.80","1,077.00","1,078.05","1,080.00","1,838.00","943.70",1478573,"1,59,68,65,421.75",54751
