DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"497.05","505.45","493.00","500.75","503.30","501.00","499.86","625.00","447.80",1217836,"60,87,43,573.95",23122
30-Dec-2024,EQ,"502.00","508.35","497.00","502.05","501.00","500.75","503.05","625.00","447.80",2019209,"1,01,57,58,087.10",36732
27-Dec-2024,EQ,"498.00","519.65","497.40","499.65","501.00","502.05","502.27","625.00","447.80",1670587,"83,90,86,857.45",26084
26-Dec-2024,EQ,"503.10","507.05","495.85","504.50","500.00","499.65","499.11","625.00","447.80",1427526,"71,24,91,854.25",35083
24-Dec-2024,EQ,"507.00","512.50","501.70","507.70","503.00","504.50","506.57","625.00","447.80",949150,"48,08,15,535.05",22525
23-Dec-2024,EQ,"505.55","510.15","496.00","504.50","507.00","507.70","504.07","625.00","447.80",1178165,"59,38,82,296.85",27003
20-Dec-2024,EQ,"520.00","522.60","501.50","518.35","503.40","504.50","507.92","625.00","447.80",2851827,"1,44,84,97,098.20",40815
19-Dec-2024,EQ,"524.00","525.55","517.35","532.25","519.50","518.35","520.34","625.00","447.80",1187222,"61,77,56,248.80",27546
18-Dec-2024,EQ,"538.80","543.85","531.30","538.40","531.70","532.25","536.99","625.00","447.80",1208566,"64,89,93,856.20",21851
17-Dec-2024,EQ,"544.10","552.00","536.65","547.95","537.70","538.40","544.26","625.00","447.80",1637281,"89,11,14,172.70",27386
16-Dec-2024,EQ,"549.80","551.50","542.70","550.25","547.00","547.95","547.24","625.00","447.80",1210467,"66,24,18,429.65",19413
13-Dec-2024,EQ,"547.45","551.25","535.70","547.45","549.65","550.25","542.80","625.00","447.80",2242153,"1,21,70,31,520.85",30149
12-Dec-2024,EQ,"553.95","554.85","542.95","552.00","547.05","547.45","547.01","625.00","447.80",1581082,"86,48,67,551.65",31145
11-Dec-2024,EQ,"552.00","566.70","551.05","549.95","553.75","552.00","559.92","625.00","447.80",5334736,"2,98,69,98,967.05",65587
10-Dec-2024,EQ,"554.85","557.60","548.60","555.40","551.50","549.95","551.07","625.00","447.80",2949316,"1,62,52,90,314.40",31157
09-Dec-2024,EQ,"559.80","562.25","552.05","562.65","555.00","555.40","556.24","625.00","447.80",2922928,"1,62,58,50,443.70",49031
06-Dec-2024,EQ,"557.85","566.25","556.00","558.20","562.00","562.65","561.94","625.00","447.80",2970258,"1,66,91,17,860.05",39485
05-Dec-2024,EQ,"568.90","569.75","552.00","567.95","559.30","558.20","558.16","625.00","447.80",2006983,"1,12,02,17,702.30",40517
04-Dec-2024,EQ,"565.80","572.70","563.50","563.10","571.00","567.95","568.17","625.00","447.80",2218877,"1,26,07,00,130.35",28616
03-Dec-2024,EQ,"556.00","566.90","553.60","555.05","562.30","563.10","561.32","625.00","447.80",2073190,"1,16,37,30,558.85",60108
02-Dec-2024,EQ,"546.90","558.00","540.55","545.00","554.05","555.05","551.70","625.00","447.80",1687736,"93,11,22,686.75",27215
29-Nov-2024,EQ,"546.50","547.90","538.25","546.90","544.55","545.00","542.81","625.00","447.80",1465623,"79,55,50,077.45",26728
28-Nov-2024,EQ,"548.20","557.15","545.00","548.20","548.00","546.90","551.48","625.00","447.80",1748362,"96,41,82,988.55",32070
27-Nov-2024,EQ,"553.00","554.30","539.00","551.75","548.40","548.20","545.28","625.00","447.80",1703921,"92,91,08,686.15",39435
26-Nov-2024,EQ,"545.00","558.75","541.10","568.55","550.60","551.75","553.06","625.00","447.80",2645846,"1,46,33,23,221.65",50551
25-Nov-2024,EQ,"570.00","578.40","566.60","566.40","570.50","568.55","571.13","625.00","447.80",5873405,"3,35,44,95,712.95",83407
22-Nov-2024,EQ,"555.75","569.95","545.85","555.75","565.50","566.40","560.54","625.00","447.80",3455747,"1,93,70,78,746.60",59870
