DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Dec-2023,EQ,"470.95","475.35","466.10","469.45","470.80","471.30","471.63","477.40","352.00",7980570,"3,76,38,68,120.80",130529
28-Dec-2023,EQ,"472.55","477.40","467.65","470.95","469.00","469.45","471.54","477.40","352.00",8419978,"3,97,03,70,034.45",152805
27-Dec-2023,EQ,"468.50","475.40","464.10","470.10","470.00","470.95","470.25","475.80","352.00",12631496,"5,93,99,28,530.50",200199
26-Dec-2023,EQ,"454.00","475.80","448.35","462.65","469.70","470.10","466.73","475.80","352.00",27314322,"12,74,82,99,048.10",326049
22-Dec-2023,EQ,"435.30","466.30","434.00","434.00","461.90","462.65","455.69","466.30","352.00",23040407,"10,49,93,49,828.90",317516
21-Dec-2023,EQ,"428.90","436.50","427.20","431.95","434.90","434.00","433.27","453.50","352.00",5331504,"2,31,00,02,064.65",145804
20-Dec-2023,EQ,"442.00","449.50","429.35","438.70","430.50","431.95","441.59","453.50","352.00",13224971,"5,84,00,16,260.20",241669
19-Dec-2023,EQ,"445.60","447.35","435.00","445.25","438.20","438.70","439.32","453.50","352.00",8032347,"3,52,87,63,708.00",189808
18-Dec-2023,EQ,"446.00","453.50","442.00","446.55","444.30","445.25","447.94","453.50","352.00",10091036,"4,52,01,40,211.05",191284
15-Dec-2023,EQ,"436.05","449.50","433.50","434.40","445.80","446.55","444.43","449.50","352.00",20783617,"9,23,69,17,892.75",296539
14-Dec-2023,EQ,"423.50","436.00","423.25","419.65","434.00","434.40","431.28","443.75","352.00",12340688,"5,32,23,08,022.95",214863
13-Dec-2023,EQ,"423.55","424.30","415.00","422.20","419.90","419.65","418.87","443.75","352.00",4848408,"2,03,08,65,280.15",99654
12-Dec-2023,EQ,"420.70","427.90","420.15","420.60","422.00","422.20","424.02","443.75","352.00",5951682,"2,52,36,31,269.95",117032
11-Dec-2023,EQ,"420.00","422.20","417.25","422.60","420.00","420.60","420.33","443.75","352.00",5042121,"2,11,93,33,559.45",101686
08-Dec-2023,EQ,"418.80","424.50","415.00","418.25","424.00","422.60","420.50","443.75","352.00",7739561,"3,25,45,03,888.50",132597
07-Dec-2023,EQ,"420.00","421.50","416.65","418.75","418.30","418.25","418.75","443.75","352.00",5625276,"2,35,56,00,588.35",105558
06-Dec-2023,EQ,"406.75","420.40","405.95","404.35","420.30","418.75","414.25","443.75","352.00",11041035,"4,57,37,70,109.10",155387
05-Dec-2023,EQ,"407.40","409.00","402.10","407.45","404.65","404.35","404.44","443.75","352.00",5582684,"2,25,78,60,909.45",94367
04-Dec-2023,EQ,"412.70","413.00","406.75","407.65","407.30","407.45","408.63","443.75","352.00",5331236,"2,17,85,24,098.90",92832
01-Dec-2023,EQ,"413.75","413.75","406.50","413.05","407.10","407.65","408.45","443.75","352.00",4915213,"2,00,76,34,999.60",94634
30-Nov-2023,EQ,"406.95","414.50","404.05","406.25","411.80","413.05","410.05","443.75","352.00",9912979,"4,06,48,52,962.85",139985
29-Nov-2023,EQ,"398.00","408.55","398.00","396.85","406.05","406.25","405.24","443.75","352.00",7772043,"3,14,95,35,327.95",108955
28-Nov-2023,EQ,"397.00","398.75","393.10","396.00","397.20","396.85","395.55","443.75","352.00",4072657,"1,61,09,43,054.25",93527
24-Nov-2023,EQ,"402.50","403.50","395.55","402.50","396.00","396.00","398.14","443.75","352.00",3125283,"1,24,42,99,168.60",69437
23-Nov-2023,EQ,"400.50","405.00","400.50","400.25","402.80","402.50","402.65","443.75","352.00",4838680,"1,94,83,12,363.15",94371
22-Nov-2023,EQ,"402.50","402.60","399.10","400.65","400.50","400.25","400.78","443.75","352.00",2659291,"1,06,57,89,721.10",65892
21-Nov-2023,EQ,"402.60","402.60","400.05","400.20","400.55","400.65","401.10","443.75","352.00",2720124,"1,09,10,38,207.50",72441
20-Nov-2023,EQ,"393.20","401.10","393.20","395.40","400.15","400.20","399.28","443.75","352.00",4305248,"1,71,89,88,192.75",85321
17-Nov-2023,EQ,"398.00","399.00","394.50","397.10","394.90","395.40","396.56","443.75","352.00",3943464,"1,56,38,30,351.00",84552
16-Nov-2023,EQ,"391.65","399.50","389.30","391.65","396.75","397.10","395.60","443.75","352.00",6921788,"2,73,82,42,303.60",124565
15-Nov-2023,EQ,"385.55","392.25","384.25","381.65","391.45","391.65","389.52","443.75","352.00",5396259,"2,10,19,67,980.65",125802
13-Nov-2023,EQ,"382.60","382.90","380.00","382.45","382.05","381.65","381.07","443.75","352.00",1792951,"68,32,34,046.35",63717
12-Nov-2023,EQ,"383.40","383.40","381.45","379.30","383.00","382.45","382.46","443.75","352.00",1011662,"38,69,19,203.35",39907
10-Nov-2023,EQ,"380.30","381.80","377.00","380.85","379.75","379.30","378.54","443.75","352.00",5355350,"2,02,72,15,362.30",95452
09-Nov-2023,EQ,"383.00","384.00","379.70","382.20","381.20","380.85","381.44","443.75","352.00",4615563,"1,76,05,64,503.10",85875
08-Nov-2023,EQ,"384.60","385.85","381.50","383.30","382.60","382.20","383.20","443.75","352.00",3551026,"1,36,07,52,175.85",81593
07-Nov-2023,EQ,"384.90","387.00","382.85","384.65","384.00","383.30","384.53","443.75","352.00",2846089,"1,09,44,13,257.15",73620
06-Nov-2023,EQ,"386.00","386.45","383.00","383.55","385.45","384.65","384.95","443.75","352.00",2469968,"95,08,11,621.70",64533
03-Nov-2023,EQ,"386.00","386.70","382.65","383.65","383.75","383.55","384.03","443.75","352.00",2645764,"1,01,60,51,515.80",66538
02-Nov-2023,EQ,"383.80","385.15","382.10","380.95","384.00","383.65","383.61","443.75","352.00",2371365,"90,96,80,621.95",76797
01-Nov-2023,EQ,"383.85","385.55","380.15","381.80","381.00","380.95","382.86","443.75","352.00",2120976,"81,20,33,838.95",63993
31-Oct-2023,EQ,"383.20","384.10","379.15","382.00","382.90","381.80","381.65","443.75","352.00",3076768,"1,17,42,57,250.05",81595
30-Oct-2023,EQ,"384.00","384.35","380.40","382.35","382.70","382.00","382.15","443.75","352.00",2344372,"89,59,02,136.95",85164
27-Oct-2023,EQ,"379.05","384.35","379.05","378.25","382.90","382.35","382.23","443.75","352.00",3101406,"1,18,54,53,978.15",102257
26-Oct-2023,EQ,"378.80","380.55","375.05","381.85","378.90","378.25","377.98","443.75","352.00",5497791,"2,07,80,44,658.85",155825
25-Oct-2023,EQ,"384.40","387.70","381.10","383.15","381.95","381.85","383.88","443.75","352.00",3339147,"1,28,18,42,932.25",108480
23-Oct-2023,EQ,"390.85","393.00","382.20","391.85","383.00","383.15","387.22","443.75","352.00",4418913,"1,71,10,82,132.75",118406
20-Oct-2023,EQ,"395.05","396.05","391.00","395.30","392.00","391.85","393.33","443.75","352.00",4214668,"1,65,77,48,683.80",117931
19-Oct-2023,EQ,"391.95","396.75","390.10","407.45","395.05","395.30","394.25","443.75","352.00",12814551,"5,05,21,35,324.35",224639
18-Oct-2023,EQ,"409.00","413.65","407.00","411.40","407.50","407.45","409.96","443.75","352.00",2440533,"1,00,05,28,311.70",78113
17-Oct-2023,EQ,"411.70","413.85","411.05","410.20","411.10","411.40","412.20","443.75","352.00",2989694,"1,23,23,52,075.60",70496
16-Oct-2023,EQ,"411.00","411.90","408.15","411.05","410.10","410.20","410.00","443.75","352.00",2638826,"1,08,19,15,244.60",65869
13-Oct-2023,EQ,"411.90","414.40","409.05","417.10","411.00","411.05","410.98","443.75","352.00",5457027,"2,24,27,39,239.25",98723
12-Oct-2023,EQ,"421.75","421.90","414.70","421.15","416.70","417.10","418.19","443.75","352.00",5117199,"2,13,99,78,545.05",112919
11-Oct-2023,EQ,"409.00","423.95","409.00","407.75","421.10","421.15","419.91","443.75","352.00",9546114,"4,00,85,12,518.50",126117
10-Oct-2023,EQ,"406.40","408.75","406.20","405.60","407.65","407.75","407.33","443.75","352.00",2564007,"1,04,43,94,930.05",72323
09-Oct-2023,EQ,"404.20","411.00","403.40","407.85","404.65","405.60","407.50","443.75","352.00",3015225,"1,22,87,09,165.50",84648
06-Oct-2023,EQ,"408.00","409.80","406.95","406.80","407.50","407.85","408.13","443.75","352.00",3182502,"1,29,88,72,462.55",79780
05-Oct-2023,EQ,"407.95","410.40","405.00","404.90","407.00","406.80","407.32","443.75","352.00",4062652,"1,65,48,13,474.85",98802
04-Oct-2023,EQ,"402.70","405.45","400.65","405.45","405.45","404.90","402.85","443.75","352.00",3452935,"1,39,09,99,694.70",88104
03-Oct-2023,EQ,"406.45","408.10","403.60","406.05","405.75","405.45","405.49","443.75","352.00",2864052,"1,16,13,51,096.15",75683
29-Sep-2023,EQ,"405.00","409.25","401.50","405.35","406.50","406.05","405.07","443.75","352.00",6390136,"2,58,84,23,523.90",118975
28-Sep-2023,EQ,"416.50","416.50","404.00","415.65","407.00","405.35","408.35","443.75","352.00",8438058,"3,44,57,01,040.70",137144
27-Sep-2023,EQ,"412.25","416.55","410.30","412.90","415.50","415.65","413.64","443.75","352.00",3886997,"1,60,78,01,899.00",77532
26-Sep-2023,EQ,"416.80","416.80","411.70","414.10","413.00","412.90","413.45","443.75","352.00",3240283,"1,33,96,85,208.75",98745
25-Sep-2023,EQ,"418.50","419.75","412.00","418.50","414.30","414.10","415.19","443.75","352.00",4650566,"1,93,08,69,252.15",93474
22-Sep-2023,EQ,"424.40","426.75","416.60","428.95","418.50","418.50","420.35","443.75","352.00",9909130,"4,16,53,30,761.50",159688
21-Sep-2023,EQ,"429.90","431.25","423.05","430.10","428.15","428.95","427.56","443.75","352.00",4446535,"1,90,11,63,575.15",131440
20-Sep-2023,EQ,"434.25","436.85","429.05","436.10","430.00","430.10","432.84","443.75","352.00",4551350,"1,96,99,92,006.40",99754
18-Sep-2023,EQ,"441.05","441.05","435.20","441.05","436.00","436.10","437.38","443.75","352.00",3012598,"1,31,76,49,175.05",89644
15-Sep-2023,EQ,"439.80","443.75","438.25","436.45","440.50","441.05","440.99","443.75","352.00",9917938,"4,37,36,63,863.40",109608
14-Sep-2023,EQ,"438.40","443.25","435.30","435.70","436.80","436.45","438.52","443.25","352.00",7447505,"3,26,58,84,775.75",141096
13-Sep-2023,EQ,"434.95","437.95","431.50","435.00","435.25","435.70","435.68","441.50","352.00",3722835,"1,62,19,65,393.95",89889
12-Sep-2023,EQ,"437.10","441.50","426.90","434.85","435.00","435.00","435.47","441.50","352.00",7272664,"3,16,70,34,270.85",142396
11-Sep-2023,EQ,"433.00","437.50","430.10","430.00","434.40","434.85","434.97","437.50","352.00",4126657,"1,79,49,77,418.90",104547
08-Sep-2023,EQ,"433.45","433.45","429.30","432.85","430.50","430.00","430.93","437.50","352.00",2874205,"1,23,85,70,246.75",72265
07-Sep-2023,EQ,"429.95","433.70","426.75","429.30","433.20","432.85","431.34","437.50","352.00",4661325,"2,01,05,97,936.20",80116
06-Sep-2023,EQ,"433.75","435.55","425.90","431.85","429.00","429.30","429.42","437.50","352.00",6765956,"2,90,54,44,337.70",113366
05-Sep-2023,EQ,"435.80","437.50","430.30","434.10","431.80","431.85","433.80","437.50","352.00",8986713,"3,89,84,72,298.20",119690
04-Sep-2023,EQ,"418.00","436.50","416.00","416.35","434.45","434.10","427.34","436.50","352.00",13817324,"5,90,46,64,876.55",223525
01-Sep-2023,EQ,"407.95","417.75","407.50","408.40","416.70","416.35","413.12","426.00","352.00",4238065,"1,75,08,23,973.65",97133
31-Aug-2023,EQ,"408.00","410.00","406.45","407.20","409.95","408.40","408.26","426.00","352.00",11030976,"4,50,35,25,225.90",96303
30-Aug-2023,EQ,"410.00","410.20","406.65","408.10","406.95","407.20","408.74","426.00","352.00",2009091,"82,12,01,454.45",60881
29-Aug-2023,EQ,"409.65","411.90","407.10","408.05","408.45","408.10","409.17","426.00","352.00",1999281,"81,80,52,761.15",58081
28-Aug-2023,EQ,"411.45","412.45","407.65","409.70","408.00","408.05","409.23","426.00","352.00",1700987,"69,60,97,112.55",51292
25-Aug-2023,EQ,"410.00","411.30","407.10","412.70","408.80","409.70","409.68","430.90","352.00",3299255,"1,35,16,37,893.45",67686
24-Aug-2023,EQ,"418.75","420.00","412.00","415.25","413.10","412.70","415.93","430.90","352.00",2888478,"1,20,13,98,589.65",64921
23-Aug-2023,EQ,"417.25","417.95","414.60","417.10","415.40","415.25","416.10","430.90","352.00",3067117,"1,27,62,35,457.25",57709
22-Aug-2023,EQ,"415.00","418.10","412.75","414.60","417.35","417.10","415.61","430.90","352.00",3175120,"1,31,96,06,248.30",65506
